step,base_x,base_y,base_z,up_z,vx,left_z,right_z,left_contact,right_contact,left_contact_count,right_contact_count,contact_state,left_slip_speed,right_slip_speed,action_mean_abs,reward,terminated,truncated
0,0.00031443482073666303,4.20878836021716e-05,0.7916101179601793,0.9999999669767302,0.0038381812322516896,0.004693395949854524,0.004691147966281402,1,1,4,4,both,0.0010933297931944531,0.0004641742102314644,0.18165035545825958,3.0898306991473685,0,0
1,0.0006837058703473516,0.0001940079160413279,0.7916042736658382,0.999998893824456,0.010860913223843782,0.004672762771263755,0.00466112540894657,1,1,4,4,both,0.0012679608960440543,0.000938913825512532,0.16644242405891418,3.0986655598101254,0,0
2,0.0013869680973170049,0.0005081028159230202,0.791598697114264,0.9999937997110943,0.02068418314616627,0.004652416391853539,0.004628874046943121,1,1,4,4,both,0.0016382922400572711,0.001253124952624851,0.1758979856967926,3.108874834082829,0,0
3,0.0025030835540338615,0.0010152349119907614,0.7915957620948717,0.999979382007445,0.032826925197554604,0.004627092480574843,0.0045992349947682615,1,1,3,4,both,0.0022217447139107867,0.0013101645800839105,0.17986305058002472,3.1183715140148696,0,0
4,0.004094062266278148,0.0017173469581958567,0.7915951523546114,0.9999473883765584,0.046793491536596656,0.004599798041197169,0.00457067385055996,1,1,3,4,both,0.0033085767511896406,0.0017052130933388604,0.18648140132427216,3.1248790473468966,0,0
5,0.006202833710810374,0.0025934546074425266,0.7915834618171006,0.9998864623067532,0.062022689545065464,0.0045723684461029986,0.00453885974733801,1,1,3,3,both,0.0043954404434672,0.002061449358458172,0.19241555035114288,3.1266558163956537,0,0
6,0.008858287072300478,0.0036196243025426776,0.7915555865855304,0.9997824501847854,0.07810156945559128,0.0045502731047988125,0.00450937441686548,1,1,3,3,both,0.005069130061205136,0.0020668149966476135,0.19746606051921844,3.122704997220943,0,0
7,0.012067366127374624,0.0047600526864509645,0.7915148349985507,0.9996186744462262,0.09438467809041608,0.004536311512727563,0.004489249162972098,1,1,3,3,both,0.0050668217455526535,0.0019131511757770234,0.20126429200172424,3.112983583435639,0,0
8,0.01580649248640468,0.005959526549627901,0.7914438816297992,0.9993762107052743,0.10997430467735454,0.004525758485244811,0.0044729305606877115,1,1,3,3,both,0.004175569326240503,0.001962542169543653,0.2030036598443985,3.0987688081735048,0,0
9,0.02004148379984462,0.007181655986704017,0.7913470409674366,0.9990377064044222,0.1245585680423512,0.004525125447510863,0.0044733713522118815,1,1,3,2,both,0.003590318306180739,0.002313711277066569,0.20228128135204315,3.081633872051598,0,0
10,0.024721874838153985,0.008432735993320126,0.7912188959480688,0.9985881900069555,0.13765855995027543,0.004531129050261314,0.004489764943927471,1,1,2,2,both,0.004132760774267199,0.0021532557847942905,0.20011943578720093,3.063462577459366,0,0
11,0.029771069015961334,0.009709936844181496,0.7910450238757541,0.9980160044298919,0.14850571111198083,0.004543148903153188,0.004515161810362624,1,1,2,2,both,0.0046406962359297355,0.0020462815432704807,0.19580326974391937,3.046591743087612,0,0
12,0.03509565476885931,0.010996339507620884,0.7908231136196259,0.9973166998525869,0.1566054633205288,0.004564484358545291,0.004546480936553406,1,1,2,2,both,0.004703370665690946,0.0018314016569456338,0.1903885304927826,3.0328113066284854,0,0
13,0.04059006094781056,0.012263148348687346,0.7905491307239527,0.9964935990614602,0.1616001817338603,0.004590583971006444,0.0045837941129203,1,1,2,2,both,0.0047019658153893895,0.001725191091753109,0.1851821392774582,3.02334709410097,0,0
14,0.04613600304353936,0.013478383657490357,0.7902281406459021,0.9955593005109244,0.16311594399202345,0.004620805542484601,0.004554608728451773,1,1,2,2,both,0.004716360906125887,0.0017647022310266394,0.179078608751297,3.0192067765308273,0,0
15,0.05160892194720912,0.014610800188512667,0.7898694556962924,0.994536537149908,0.1609682030491105,0.004646861176918173,0.004522624156070108,1,1,2,2,both,0.0047450816834148065,0.0020177393475076053,0.17181062698364258,3.0208315650201905,0,0
16,0.05688106437867592,0.01563142521182258,0.7894862955765548,0.9934580695915352,0.1550630126902,0.004598254119019159,0.0044934346102085375,1,1,2,2,both,0.004764601589403688,0.0024315423776957662,0.16540946066379547,3.0282476731600814,0,0
17,0.06182683587349863,0.016515599237309803,0.7890946562488075,0.9923647020987741,0.14546386749478565,0.0045570778376192445,0.004467585058173962,1,1,2,2,both,0.00476235987312359,0.002906741310419806,0.15899233520030975,3.040904238460739,0,0
18,0.06632627578148217,0.017243857692837566,0.7887130301522802,0.9913032118457256,0.13233646788186892,0.004523315910359895,0.004444445123422673,1,1,2,2,both,0.004752627706084332,0.0033981786764163396,0.1514042317867279,3.057532951979103,0,0
19,0.07026921327441941,0.017809557892302638,0.7883705086865461,0.9903255385329217,0.11596874979227176,0.004498224441440889,0.00442581004446134,1,1,2,2,both,0.004677225495781115,0.004856605685072269,0.1430707424879074,3.0758695270300387,0,0
20,0.07357225432576027,0.01823747441545304,0.7881027171394872,0.9894877577772266,0.09714826621590748,0.0044805052844794635,0.004409959630703633,1,1,2,1,both,0.004533980003400335,0.007549557568999332,0.13911323249340057,3.0922589695238454,0,0
21,0.07618705733774411,0.018575226509890568,0.7879436112194731,0.9888354222973886,0.07690597094070127,0.004468086010229938,0.0043994221480721865,1,1,2,1,both,0.005496285101268618,0.008220652474930992,0.14119240641593933,3.1028638277275147,0,0
22,0.07809933837172257,0.018856343250375225,0.78786262770011,0.9883853420048446,0.0562435598228959,0.004452015997496929,0.004391765972097367,1,1,1,1,both,0.006869453278129347,0.007035306260450409,0.1480695754289627,3.104957056131722,0,0
23,0.07929867377507076,0.01909300507792744,0.7878199679468071,0.9881211144622465,0.03527457068671129,0.00444271434136622,0.004390493784890467,1,1,1,1,both,0.007114898406705305,0.005278271245706264,0.15395115315914154,3.097255091671686,0,0
24,0.07978659531841278,0.01928167775112557,0.7877735780798387,0.9880354718551471,0.014350633627706659,0.00443608454183941,0.004388447738302985,1,1,1,1,both,0.006351776876665405,0.004023387580145749,0.1602645069360733,3.0793885413934254,0,0
25,0.07957815223111289,0.01940036121743117,0.7877291066543545,0.9881204390913109,-0.0061306790382321215,0.004443089244669834,0.004399166718156801,1,1,2,1,both,0.004846648713246743,0.0033345453447422807,0.16728022694587708,3.052200577282882,0,0
26,0.07875807887521495,0.019390947879595926,0.7877834295323595,0.9883838184795082,-0.024119804585233547,0.0044615837945532685,0.004413956726834041,1,1,3,1,both,0.003611455396652171,0.0037491171594902666,0.17615729570388794,3.019870405171857,0,0
27,0.07739848680073576,0.019226013992816083,0.787870573961353,0.9887993440583343,-0.03998800219056451,0.004479343405596758,0.004417235996555587,1,1,3,1,both,0.0029741132975849524,0.0039410153821789196,0.18249164521694183,2.98515881338226,0,0
28,0.0755553133612936,0.018873879270478674,0.7879557021226155,0.9893299640796562,-0.05421098351300449,0.004508037308101152,0.0044256813341636975,1,1,3,2,both,0.0024291714916949082,0.004684430879076418,0.18518516421318054,2.94972170468599,0,0
29,0.07334601232250162,0.018360289267656746,0.7881692259872108,0.9899627178911217,-0.06497944231741118,0.004561903750341375,0.004454197786395393,1,1,3,2,both,0.001583592286775602,0.0020113712187946487,0.18628749251365662,2.9207688113006975,0,0
30,0.07090602753961542,0.017792967924939354,0.7884148342127949,0.9906723006340443,-0.07176425832018254,0.004592874617724344,0.0044597973856904324,1,1,3,2,both,0.0010967760154955081,0.0019281695494821627,0.18648003041744232,2.902081566757307,0,0
31,0.0683377427926541,0.017241335148291195,0.7886650621443722,0.9914048505178651,-0.07553778667533283,0.004629361549907934,0.00447768592267421,1,1,4,2,both,0.0007271240691792518,0.0012659454360324114,0.18502236902713776,2.8919953016950415,0,0
32,0.0657424394436876,0.01673543539440715,0.7889173527522296,0.9921265170409452,-0.07633245144019123,0.0046613986674934015,0.0044985132627277935,1,1,4,2,both,0.0006754585678273035,0.0010671541488956103,0.18215343356132507,2.8908796031599575,0,0
33,0.06322102914361102,0.016286285510537256,0.7891499804781694,0.9928113926054641,-0.07415912647284048,0.004693889346981315,0.0045155973072835975,1,1,4,2,both,0.0008296421185698536,0.0012299588494546715,0.17809553444385529,2.898758227010866,0,0
