knee_bias,hip_bias,steps,reason,right_clearance,left_clearance,right_air_steps,right_air_streak,right_force_min,right_force_ratio,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity
0.0,0.0,520,max_steps,0.03222565425621508,0.004310327009395279,27,27,0.0,0.0,0.9919892939726352,0.32561774671349525,0.025045172875846716,0.04668273982292678,0.012532797802055117,0.008693371822898548,-0.02628276974256519
0.002,0.0,520,max_steps,0.03168681337914048,0.004135902559593202,25,25,0.0,0.0,0.9923068215056069,0.31943362877728826,0.023956820914293755,0.047458658131353186,0.013229317137715635,0.004860198227399332,-0.02786285228615468
0.004,0.0,520,max_steps,0.031170137808047213,0.003961806627553757,23,23,0.0,0.0,0.9926573166003716,0.31335290766451335,0.02251694476095315,0.0478041521918342,0.013805765615094308,0.0034384544300099453,-0.030067101076655618
0.006,0.0,520,max_steps,0.030650175869177024,0.003761277424022706,22,22,0.0,0.0,0.9927537646545911,0.3072043858322904,0.02147915104122044,0.04989992673238648,0.01323714578725688,0.003282957570810577,-0.032582659654166575
0.008,0.0,520,max_steps,0.030131252695506636,0.003606186527299368,20,20,0.0,0.0,0.9925994780571227,0.3070968120975174,0.02069305587752815,0.05409691199485743,0.011448581562893271,0.005277345438371303,-0.036186291812393113
0.01,0.0,520,max_steps,0.0296154617089803,0.0035673937424605187,18,18,0.0,0.0,0.9920719916209164,0.30447169130652146,0.020444648419416272,0.06118249773424893,0.0081496670853486,0.009335120350940923,-0.04178252881360394
0.012,0.0,520,max_steps,0.029127802057741195,0.003543136730878277,15,15,0.0,0.0,0.9909448219662822,0.30022760600201787,0.024963085008839182,0.07115133141223229,0.0027847772025110062,0.016005387109464985,-0.05072146292238577
0.0,0.002,520,max_steps,0.032463290501115113,0.004362310987246168,28,28,0.0,0.0,0.9923672025112985,0.32050161904837504,0.02530854399256379,0.045620036453046124,0.011403534264708358,0.004830519417556163,-0.027841719621369842
0.002,0.002,520,max_steps,0.031970448341963956,0.0042299846015296655,27,27,0.0,0.0,0.9925409705560619,0.3143336115602131,0.02433348790974254,0.04689859854342148,0.011242878716518594,0.004094015831625738,-0.029529513993346152
0.004,0.002,520,max_steps,0.0314500781798743,0.004043060036004485,25,25,0.0,0.0,0.9925385251444696,0.3079741382880342,0.022285652134483972,0.04972989813902748,0.010460456343829996,0.005053385190067677,-0.031874733864125614
0.006,0.002,520,max_steps,0.030933554245088132,0.003862161892489724,24,24,0.0,0.0,0.9923123138453321,0.3018569688016399,0.020851756837268712,0.05450842979896398,0.008500092066662801,0.00781533067990685,-0.03516893009812287
0.008,0.002,520,max_steps,0.0304371087556725,0.003669765954850024,21,21,0.0,0.0,0.9916718293404396,0.30060127963556976,0.020158960606832903,0.06219495525531365,0.005121936005198582,0.01219434284913044,-0.04001686474227385
0.01,0.002,520,max_steps,0.029842764777791478,0.003538303458720672,19,19,0.0,0.0,0.9904090724339865,0.29375091232451617,0.022169751302830783,0.07391777406139696,0.00020474969029933782,0.0188867893513573,-0.048055028893691475
0.012,0.002,520,max_steps,0.02936783267038838,0.0044600464950851,17,17,0.0,0.0,0.9865909375333416,0.29616982778042067,0.02527822452245748,0.09755263527675496,-0.010767967975039356,0.047624797579990746,-0.07435583310849589
