label,a_ankle,a_knee,a_hip,a_roll,steps,reason,return,right_clearance,left_clearance,right_air_steps,right_air_streak,first_air_step,last_air_step,right_force_min,right_force_ratio,min_up_z,support_slip,max_root_ang_vel,gap_delta,max_gap_delta,final_x,final_y,final_x_velocity,final_y_velocity
zero,0.0,0.0,0.0,0.0,520,max_steps,478.7220790433432,0.03467955826241555,0.004076777119079597,38,38,291,328,0.0,0.0,0.9944533154593226,0.025653791443423748,0.3290814692604218,0.16410940290526535,0.16410940290526535,0.06212780459434485,-0.016391440560545565,0.02859901018678159,-0.02729059155617161
ankle_neg,-1.0,0.0,0.0,0.0,520,max_steps,490.1782834644778,0.03857466125642438,0.004173251397467194,51,49,278,331,0.0,0.0,0.9942769783206935,0.028536424491031304,0.3807006968811071,0.17233595947256794,0.17233595947256794,0.05995855547833132,-0.01738946532211334,0.03273553217701387,-0.020874407943175858
ankle_pos,1.0,0.0,0.0,0.0,520,max_steps,389.62298161116166,0.02915395124702569,0.003580998022371204,0,0,-1,-1,38.387434565724256,0.12496412885973003,0.9940004088500489,0.022037578161308125,0.22106792849159607,0.12139970690131649,0.12150669513349063,0.07198165504038716,-0.005039644542020275,0.052265164189914774,-0.05967299675635321
knee_neg,0.0,-1.0,0.0,0.0,520,max_steps,472.52003335572925,0.039128122985095284,0.0046911137792465946,48,48,290,337,0.0,0.0,0.9942440538632984,0.035568862450964404,0.3708851787950129,0.20061601461954184,0.20061601461954184,0.04519360352612097,-0.01631555121139718,0.07887398984156649,0.0005057882815010647
knee_pos,0.0,1.0,0.0,0.0,495,x_position_limit,388.9208024054872,0.03095869708665093,0.06220038694084182,28,27,287,318,0.0,0.0,0.79379729564169,0.11349117818244298,1.8684287692063493,0.1394369320150026,0.1394369320150026,0.4262293379169377,-0.1853099813633583,1.0236479478961034,-0.5117096900310221
hip_neg,0.0,0.0,-1.0,0.0,520,max_steps,456.2958552264462,0.033207832515819644,0.003927334549321565,35,34,286,325,0.0,0.0,0.9961377459058144,0.026099420012358678,0.3693007176868607,0.17811837734912198,0.17811837734912198,0.03557873718256034,-0.00491714113607189,0.0663501407902122,-0.0019408279930410446
hip_pos,0.0,0.0,1.0,0.0,502,x_position_limit,413.13994374111405,0.036413772600348795,0.06105535937071328,42,41,285,330,0.0,0.0,0.7909851657232041,0.09912813093625579,1.8834059771327074,0.16368274410881448,0.16368274410881448,0.4259239720478685,-0.19279725992159893,1.0286481694420706,-0.5020042649625065
roll_neg,0.0,0.0,0.0,-1.0,520,max_steps,466.706767468382,0.041149925197565315,0.0052516319331053635,47,47,291,337,0.0,0.0,0.9916273874738476,0.06608616976384092,0.4233735170454402,0.22132361600310754,0.22132361600310754,0.05672437595920477,-0.032691320806649174,0.015065873235229867,-0.013779279776011413
roll_pos,0.0,0.0,0.0,1.0,520,max_steps,443.1522913275263,0.029872087280410575,0.0038273995727405308,22,21,287,313,0.0,0.0,0.9926948940546311,0.035080096884416115,0.33411381809597906,0.11424322725787697,0.11465476758022988,0.08784698643050835,-0.008883920674438255,0.07924728570465804,-0.06908774809206361
ankle_neg_knee_pos,-1.0,1.0,0.0,0.0,511,x_position_limit,407.5507702047058,0.035387936176055845,0.06236762536855735,44,42,278,324,0.0,0.0,0.7901734781956329,0.10927183336816763,1.8651451331165478,0.15380538578906042,0.15380538578906042,0.42893799952016193,-0.18581845675129685,1.0361545362634268,-0.4951381962688993
ankle_neg_hip_pos,-1.0,0.0,1.0,0.0,520,max_steps,434.49794189782193,0.040437168162422446,0.05777869390168716,53,51,278,333,0.0,0.0,0.806801119893806,0.11304500392625756,1.7452430637712957,0.17114411668197296,0.17114411668197296,0.4118465881545794,-0.18878901216312957,0.9915669658034219,-0.5037848462802775
ankle_neg_roll_neg,-1.0,0.0,0.0,-1.0,520,max_steps,466.8289383196373,0.04577655679633216,0.005715654902326027,58,57,278,339,0.0,0.0,0.9888118728735052,0.19401267039198136,0.4601010655353339,0.2427995702271222,0.2427995702271222,0.07670356474276746,-0.029097149491627856,0.025985405860183046,-0.011342671261715022
ankle_neg_roll_pos,-1.0,0.0,0.0,1.0,520,max_steps,458.8257296737586,0.03266750164131635,0.004080938079178087,38,37,280,320,0.0,0.0,0.9934431116240527,0.03464195843950274,0.38052381790269046,0.12495482869284838,0.12508232146271545,0.08057821670121469,-0.006242431650426599,0.07436359546141097,-0.0471815203126833
knee_pos_hip_pos,0.0,1.0,1.0,0.0,449,x_position_limit,369.8534348435069,0.032882899028812404,0.06028815979919548,35,33,285,323,0.0,0.0,0.7713970907873061,0.18046558481900962,2.01480524126409,0.1225078797713233,0.1225078797713233,0.42725489222550683,-0.23228813882723842,1.040382842641885,-0.6830469555197435
knee_pos_roll_neg,0.0,1.0,0.0,-1.0,491,x_position_limit,387.04090826805356,0.03538979732772626,0.06305915672784908,37,36,286,326,0.0,0.0,0.7982905648734938,0.12085414646384213,1.839198285175975,0.18778865355262223,0.18778865355262223,0.4214645973483414,-0.16838450775841673,1.0316905895080857,-0.4224741300810916
knee_pos_roll_pos,0.0,1.0,0.0,1.0,487,x_position_limit,350.679583501054,0.027984747099274815,0.058826754214929514,12,11,288,304,0.0,0.0,0.7905736385829668,0.10621764078794,1.9183353135428498,0.08755280860785733,0.08755280860785733,0.4277841634771927,-0.2121245792516027,1.0121217066719308,-0.6424149480827863
