preload_amp,knee_bias,steps,reason,max_right_clearance,max_left_clearance,right_air_steps,right_air_streak,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,right_force_ratio,phase_min_force,right_force_min,left_force_at_min,right_contacts_at_min,left_contacts_at_min,right_clear_at_min,left_clear_at_min,up_z_at_min,x_at_min,y_at_min
0.038,0.0,520,max_steps,0.005642196861110921,0.0027972653604185355,0,0,0.9948970788310566,0.15090414284550055,0.018087706576029407,0.08298266623378052,0.007969890116540444,0.04506278969710522,-0.05700042664420586,0.1313878036713871,0.6307692307692307,32.49274815814273,214.81139461762103,1,2,0.003793830539506722,0.002401854735165014,0.9996695241696466,0.012220320977134486,0.061319567302742906
0.038,0.002,520,max_steps,0.005642196861110921,0.004748683989874394,0,0,0.9898049153482996,0.25678624179727777,0.0269291087455522,0.11492380211519222,-0.02289110805619446,0.11224280319362406,-0.14349816982232205,0.15780834806264632,0.47115384615384615,40.489143255060824,216.08247511703922,1,2,0.004508182257530198,0.0027530167216734402,0.9999457651511736,0.006665145467451197,0.06379539172648198
0.038,0.004,520,max_steps,0.005642196861110921,0.012710809198043654,0,0,0.9727831438702486,0.5228602904878485,0.04017866830546406,0.17618784821624056,-0.0763480668760578,0.3169825869769237,-0.27123315512152374,0.13067175456437136,0.5788461538461539,32.4424922815284,215.832220105123,1,2,0.004038322536259194,0.0025220668809086758,0.9997969954904781,0.009596789272832385,0.06216467325513187
0.042,0.0,520,max_steps,0.0056469237661885135,0.005159535683146213,0,0,0.9887406794737812,0.25376429046362203,0.026844172560137353,0.11110975621408065,-0.036302613949613226,0.11615048758181698,-0.15480640681896754,0.0882605555476548,0.6634615384615384,20.776304281995756,214.62108420122019,1,2,0.003347443703264015,0.0021793624686549384,0.9992155610298978,0.012311241926276043,0.05849308734779749
0.042,0.002,520,max_steps,0.0056469237661885135,0.01272402698835716,0,0,0.969110480239292,0.5307787220855044,0.043341091584370224,0.17343153709072978,-0.09846381058126313,0.3213218957713503,-0.3124505915952044,0.07168882346963687,0.6461538461538461,16.756947167050825,216.9886543931153,1,2,0.003465260934522707,0.0022106287617789933,0.9992611019668736,0.010903157318984303,0.0584980749338541
0.042,0.004,520,max_steps,0.0056469237661885135,0.027782325855982344,0,0,0.9036388221953437,1.0854745333205356,0.132261328758897,0.28954881014303957,-0.19135554088195633,0.697761145237933,-0.5025512316708819,0.06940614789731042,0.6211538461538462,16.35528912319479,219.29082607964276,1,2,0.0035848282446400495,0.0023143305342462894,0.9994008987826593,0.009512083709286632,0.0601888576193897
0.046,0.0,520,max_steps,0.005649847963580014,0.014893092671834161,0,0,0.9543025971505694,0.6901463926907633,0.052415558348505344,0.18709903454753626,-0.14388802799207795,0.38095298878062955,-0.3984211484977636,0.0478569946308633,0.6538461538461539,10.828861041313282,215.44654811966393,1,2,0.003063891805375231,0.0020318017625141835,0.9987105763695895,0.011209455010140347,0.05576170605947041
0.046,0.002,520,max_steps,0.02462230250018571,0.0344247175268339,0,0,0.8731656060122892,1.0561995015313586,0.4125067119897446,0.33008309044682554,-0.24805356832072994,0.8643805825614509,-0.46067636901032205,0.06026676222809505,0.6115384615384616,13.998164791600104,218.2719003998972,1,2,0.003265976998381298,0.002278053112277377,0.9991335412145858,0.008796649228374682,0.06038820385789204
0.046,0.004,510,x_position_limit,0.041448843112410746,0.04773443137809068,0,0,0.8089921992683119,1.6721185117999398,0.34591602733239785,0.4258196604691983,-0.279994378850821,1.1099608578463063,-0.4118162578705089,0.023100101423361583,0.6423076923076922,5.206260480527073,220.17199155008436,1,2,0.00322837843182186,0.0019675086666635783,0.9985665229088383,0.009797860401848045,0.05330116265618294
0.05,0.0,518,y_position_limit,0.04491405494652491,0.04101752779037955,0,0,0.8270256068188673,1.461530843207194,0.34343168034126437,0.38412582696591335,-0.30164911828356417,1.0179198044440512,-0.4111530574666846,0.02690150745902176,0.6423076923076922,6.002579705982016,217.12914312128188,1,2,0.002769246746756382,0.0018401752800527582,0.998008095182836,0.010764827703755824,0.05162509417741122
