lift_height,ik_gain,ik_delta,steps,reason,max_right_clearance,max_left_clearance,right_air_steps,right_air_streak,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,right_force_ratio,phase_min_force,right_force_min,left_force_at_min,right_contacts_at_min,left_contacts_at_min,right_clear_at_min,left_clear_at_min,up_z_at_min,x_at_min,y_at_min
0.01,0.55,0.06,520,max_steps,0.0056469237661885135,0.0037291681107535363,0,0,0.9835655166768604,0.256759975533777,0.013638885588261374,0.09936986203828316,-0.015780709806639474,0.0711348459624904,-0.12943956217428643,0.0882605555476548,0.6634615384615384,20.776304281995756,214.62108420122019,1,2,0.003347443703264015,0.0021793624686549384,0.9992155610298978,0.012311241926276043,0.05849308734779749
0.01,0.55,0.09,520,max_steps,0.0056469237661885135,0.0037291681107535363,0,0,0.9835655166768604,0.256759975533777,0.013638885588261374,0.09936986203828316,-0.015780709806639474,0.0711348459624904,-0.12943956217428643,0.0882605555476548,0.6634615384615384,20.776304281995756,214.62108420122019,1,2,0.003347443703264015,0.0021793624686549384,0.9992155610298978,0.012311241926276043,0.05849308734779749
0.01,0.8,0.06,520,max_steps,0.005648655678517592,0.007855630015972087,0,0,0.9760134770398093,0.30867620708424287,0.013669156944505238,0.12870590444046628,-0.03181044964305509,0.157052197002903,-0.16878266548460646,0.07114458292850881,0.6403846153846153,16.7514250632053,218.70466131287674,1,2,0.003472058523738275,0.0022818380209248673,0.9993374960051239,0.01077179525584323,0.060250486453898286
0.01,0.8,0.09,520,max_steps,0.005648655678517592,0.007855630015972087,0,0,0.9760134770398093,0.30867620708424287,0.013669156944505238,0.12870590444046628,-0.03181044964305509,0.157052197002903,-0.16878266548460646,0.07114458292850881,0.6403846153846153,16.7514250632053,218.70466131287674,1,2,0.003472058523738275,0.0022818380209248673,0.9993374960051239,0.01077179525584323,0.060250486453898286
0.01,1.05,0.06,520,max_steps,0.0056503843616898045,0.019516696307056713,0,0,0.9508937801732209,0.5859915026315452,0.024165041739928114,0.1991675254150016,-0.061623420327677196,0.3868744141902783,-0.2500834712968379,0.12032727211159737,0.5788461538461539,29.490170559861212,215.59284380874004,1,2,0.0037381576732926913,0.0025289877572719777,0.9996532171977311,0.008940286025444017,0.06402702060185297
0.01,1.05,0.09,520,max_steps,0.0056503843616898045,0.019516696307056713,0,0,0.9508937801732209,0.5859915026315452,0.024165041739928114,0.1991675254150016,-0.061623420327677196,0.3868744141902783,-0.2500834712968379,0.12032727211159737,0.5788461538461539,29.490170559861212,215.59284380874004,1,2,0.0037381576732926913,0.0025289877572719777,0.9996532171977311,0.008940286025444017,0.06402702060185297
0.015,0.55,0.06,520,max_steps,0.007140417568588055,0.02963924377732992,0,0,0.8891180014274515,0.9938538157494653,0.08217703719112328,0.27624387590372507,-0.17519956684861185,0.674498286063911,-0.4304542287989296,0.10305588838382884,0.5961538461538461,24.949069568268705,217.14354599724442,1,2,0.0036490315034185122,0.0024698831488507433,0.9995721492755922,0.009080430144202565,0.06331342290738554
0.015,0.55,0.09,520,max_steps,0.007140417568588055,0.02963924377732992,0,0,0.8891180014274515,0.9938538157494653,0.08217703719112328,0.27624387590372507,-0.17519956684861185,0.674498286063911,-0.4304542287989296,0.10305588838382884,0.5961538461538461,24.949069568268705,217.14354599724442,1,2,0.0036490315034185122,0.0024698831488507433,0.9995721492755922,0.009080430144202565,0.06331342290738554
0.015,0.8,0.06,486,x_position_limit,0.03210854114677118,0.05637454595286888,0,0,0.8045267460848943,1.885551473390147,0.38975653460705467,0.4236419479337165,-0.20843532827607558,1.1222750997002013,-0.2316225297121491,0.05440567720540953,0.6076923076923078,12.795049064275009,222.3835154073534,1,2,0.003639441074313056,0.0024078228321442394,0.9994858099757064,0.009054839686605467,0.06239104670012602
0.015,0.8,0.09,486,x_position_limit,0.02796234169874111,0.06198394555085844,0,0,0.7996678842610954,2.1863172013187007,0.359477004015785,0.4243625715559769,-0.2079103464214875,1.132618242058963,-0.22127683993744357,0.05440567720540953,0.6076923076923078,12.795049064275009,222.3835154073534,1,2,0.003639441074313056,0.0024078228321442394,0.9994858099757064,0.009054839686605467,0.06239104670012602
0.015,1.05,0.06,465,x_position_limit,0.06498100211733099,0.029979011411539483,0,0,0.8010357503189917,1.7674515548766607,0.26787513570877985,0.4299885020607702,-0.24310885257743126,1.1381927898594697,-0.13138910787354974,0.0,0.6346153846153847,0.0,268.9871803311704,1,2,0.003824993210921196,0.0020092237141946592,0.998725013189861,0.007653743059887016,0.0540295797603959
0.015,1.05,0.09,464,x_position_limit,0.042561162191836574,0.041998002402376805,0,0,0.8175189814512411,1.994461630011492,0.28040817553382374,0.4220505913227647,-0.23350522880201638,1.1366426598126689,-0.07465530755151273,0.0,0.6346153846153847,0.0,268.9871803311704,1,2,0.003824993210921196,0.0020092237141946592,0.998725013189861,0.007653743059887016,0.0540295797603959
0.02,0.55,0.06,481,x_position_limit,0.04942499172017899,0.04460682558646946,0,0,0.8041293953338732,1.8902038374940706,0.37425186057841886,0.42205832299091806,-0.2464060249511254,1.1211930245283963,-0.2686581447938018,0.13945033064510373,0.5326923076923077,34.935152950887186,215.5852494696416,1,2,0.003954978492091699,0.0026541687148313314,0.9997754940285535,0.0073304954418123075,0.06539725620163991
0.02,0.55,0.09,481,x_position_limit,0.04443031690017139,0.051390442256729216,0,0,0.7998509885185212,2.174824336911572,0.38007542662001825,0.4233573065860208,-0.24563120494904403,1.1334391706933469,-0.24706414633127688,0.13945033064510373,0.5326923076923077,34.935152950887186,215.5852494696416,1,2,0.003954978492091699,0.0026541687148313314,0.9997754940285535,0.0073304954418123075,0.06539725620163991
