label,total_duration,max_steps,preload_amp,ankle_pitch_bias,lift_hold_old_phi,steps,reason,right_clearance,right_air_steps,right_air_streak,right_force_min,right_force_ratio,min_up_z,support_slip,max_root_ang_vel,initial_gap,gap_at_old_end,final_gap,gap_delta,final_x,final_y,final_x_velocity,final_y_velocity,final_phase
lower_gap,5.2,520,0.036,-0.07,0.64,520,max_steps,0.03109683269671952,30,27,0.0,0.0,0.9934703041355082,0.033422696896773636,0.3209334397810157,0.23701291,0.3687579555533721,0.3687579555533721,0.1317450455533721,0.08210638314860638,-0.01398996604218956,0.04389926134151596,-0.05228560879603902,NEUTRAL_END
lower_gap,6.0,600,0.036,-0.07,0.64,600,max_steps,0.031096832696719243,30,27,0.0,0.0,0.9719806975584622,0.033422696896781574,0.4811010099407242,0.23701291,0.3686826458163259,0.36359550493957743,0.12658259493957744,0.18051201696176067,-0.08380319481575688,0.33374384689762104,-0.18646322695187573,NEUTRAL_END
lower_gap,6.5,650,0.036,-0.07,0.64,639,x_position_limit,0.03109683269671952,30,27,0.0,0.0,0.8071163677250005,0.11448269707690739,1.760267236916643,0.23701291,0.3686826458163259,0.36836057488656776,0.13134766488656777,0.42704123064842037,-0.21689033966515575,1.0029955440156983,-0.5414643002200051,NEUTRAL_END
lower_gap,7.0,700,0.036,-0.07,0.64,639,x_position_limit,0.031096832696719354,30,27,0.0,0.0,0.8071163677250248,0.11448269707689672,1.760267236916512,0.23701291,0.36868264581632537,0.3683605748865678,0.13134766488656782,0.4270412306483974,-0.21689033966514365,1.0029955440156442,-0.5414643002199839,NEUTRAL_END
higher_air,5.2,520,0.04,-0.075,0.68,520,max_steps,0.034679558262415436,38,38,0.0,0.0,0.9944533154593221,0.025653791443425562,0.32908146926042353,0.23701291,0.40112231290526534,0.40112231290526534,0.16410940290526535,0.0621278045943435,-0.016391440560545256,0.028599010186780998,-0.027290591556171247,NEUTRAL_END
higher_air,6.0,600,0.04,-0.075,0.68,600,max_steps,0.034679558262415325,38,38,0.0,0.0,0.9921156158515676,0.02565379144342388,0.3290814692604232,0.23701291,0.4013199840200905,0.4075169056702349,0.17050399567023491,0.08481671078717831,-0.02931264664675753,0.044545326226110044,-0.01776310401510961,NEUTRAL_END
higher_air,6.5,650,0.04,-0.075,0.68,650,max_steps,0.0346795582624156,38,38,0.0,0.0,0.9848696598872736,0.025653791443426655,0.32908146926042214,0.23701291,0.4013199840200913,0.40869681437676897,0.17168390437676898,0.1260024111605081,-0.048896288003060194,0.1554686423964992,-0.0723835659502061,NEUTRAL_END
higher_air,7.0,700,0.04,-0.075,0.68,700,max_steps,0.03467955826241555,38,38,0.0,0.0,0.9003703838095778,0.06396419734243841,1.18138468006084,0.23701291,0.4013199840200931,0.4144114557911658,0.1773985457911658,0.3174057698673017,-0.13122566149267742,0.7393702766006254,-0.3223365829943378,NEUTRAL_END
