close_sign,close_amp,steps,reason,right_clearance,right_air_steps,right_air_streak,right_force_min,right_force_ratio,min_up_z,support_slip,max_root_ang_vel,initial_gap,max_gap,final_gap,gap_delta,final_x,final_y,final_x_velocity,final_y_velocity
-1.0,0.0,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9934703041355085,0.03342269689676072,0.32093343978101535,0.23701291,0.3689231746402154,0.36875795555337265,0.13174504555337266,0.08210638314860429,-0.013989966042188684,0.04389926134151288,-0.05228560879603418
-1.0,0.004,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9935136154973352,0.03217299956216637,0.32093343978101535,0.23701291,0.3696723130081119,0.3696426024222785,0.13262969242227848,0.08116540025889374,-0.013765530751295533,0.04104906178789796,-0.052676031186500695
-1.0,0.008,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9935077698742132,0.031418443826743817,0.32093343978101535,0.23701291,0.37058166375152113,0.37058166375152113,0.13356875375152114,0.08045829290919418,-0.01381304655178911,0.03848897100237136,-0.05439525401588706
-1.0,0.012,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9934824612738097,0.030628734141115495,0.32093343978101535,0.23701291,0.37140845976599224,0.37140845976599224,0.13439554976599224,0.07988785244684152,-0.013691117340933126,0.03673569567288342,-0.0555481549755451
-1.0,0.016,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9934756818396178,0.028842582772920698,0.32093343978101535,0.23701291,0.3721074747533266,0.3721074747533266,0.13509456475332662,0.07922132344715237,-0.013492399780979455,0.03540644277356153,-0.056070387647363995
-1.0,0.02,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9934268496515064,0.027767881927007538,0.32093343978101535,0.23701291,0.37278796126658964,0.37278796126658964,0.13577505126658965,0.07873854644917114,-0.013298863334688877,0.03427356164668436,-0.05691023422500017
1.0,0.0,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9934703041355085,0.03342269689676072,0.32093343978101535,0.23701291,0.3689231746402154,0.36875795555337265,0.13174504555337266,0.08210638314860429,-0.013989966042188684,0.04389926134151288,-0.05228560879603418
1.0,0.004,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9935106433541719,0.03385470027504817,0.32093343978101535,0.23701291,0.36831509684609826,0.3679813076127638,0.13096839761276383,0.08245185329105857,-0.014342006944032959,0.04540293440153938,-0.05234121194235233
1.0,0.008,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9935368710275911,0.034385367676669124,0.32093343978101535,0.23701291,0.3677500282678148,0.3672099166431888,0.1301970066431888,0.08284255202715989,-0.014763364383433755,0.04714765895112356,-0.0527462639961571
1.0,0.012,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9935636474346661,0.03486207772673986,0.32093343978101535,0.23701291,0.3672550863167536,0.3664110206686517,0.12939811066865173,0.08320439558715798,-0.015247100043530953,0.04882708862064973,-0.05321023667421675
1.0,0.016,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9935698905505206,0.03517284631864965,0.32093343978101535,0.23701291,0.367098955643275,0.36550036782756257,0.12848745782756257,0.08373145190615676,-0.016110092177264675,0.05127538444357268,-0.05428047349950293
1.0,0.02,520,max_steps,0.031096832696719354,30,27,0.0,0.0,0.9936385293091556,0.03653529830048088,0.32093343978101535,0.23701291,0.36688616657861006,0.36458332351986844,0.12757041351986845,0.08392773508309266,-0.016969151520427387,0.05190351743945301,-0.0567307456196918
