preload_amp,knee_bias,steps,reason,max_right_clearance,max_left_clearance,right_air_steps,right_air_streak,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,right_force_ratio,phase_min_force,right_force_min,left_force_at_min,right_contacts_at_min,left_contacts_at_min,right_clear_at_min,left_clear_at_min,up_z_at_min,x_at_min,y_at_min
0.01,0.0,520,max_steps,0.0017186774258458257,0.001666989000492787,0,0,0.9993195473548024,0.038092295645240186,0.0037692420196354932,0.03568532501147896,0.02243108650646412,0.010880178123146494,0.0004309341579400327,0.4433133432543955,0.7788461538461537,145.00206199418778,182.0850067814035,3,4,0.0017026315365883532,0.0016603573541495997,0.9996365829644097,0.025669685886939703,0.02111974585175662
0.01,0.005,520,max_steps,0.0017199362294436082,0.0017079994326449216,0,0,0.9977610573631229,0.0931478502632356,0.004234720208804362,0.06133694610938449,0.009048959182321587,0.02655617339958389,-0.01240433543596979,0.43606817908881423,0.6769230769230768,142.10660691402853,183.77501831936326,2,3,0.001716064526312594,0.0016352300393116526,0.999976733104766,0.014912310524220384,0.018603017986521808
0.01,0.01,520,max_steps,0.007282920141879479,0.011851948766772771,0,0,0.9347887906402441,1.2056227571714666,0.11937052477969282,0.23147195334024148,-0.22173532980089647,0.5626726351972227,-0.5938108508340095,0.4119241358609365,0.6480769230769231,136.3021262825058,194.58920640823197,2,4,0.0017511944360180942,0.0016125740613896211,0.9998877851978879,0.010952488492557796,0.015152383671647859
0.01,0.012,498,y_position_limit,0.011194163702547784,0.011397677320534365,0,0,0.8876060554768994,1.4556868583843465,0.2470305343008219,0.26540698956799497,-0.3070686686466021,0.6837505029799352,-0.7923224400614365,0.40019192443143503,0.6423076923076922,132.88224196334818,199.16404345867292,2,4,0.001798946676270459,0.0016062950906554074,0.9998137007552677,0.009905147636081248,0.013807647621981499
0.015,0.0,520,max_steps,0.0056289980901030046,0.002177817848092338,0,0,0.9991776634100121,0.05907504519699688,0.006519960889161299,0.04090598811405108,0.039884313116889995,0.022941905451272615,-0.00261380390130857,0.3717449370315853,0.5346153846153846,118.44655488029778,200.17662752563766,2,2,0.005567437137593334,0.0021441666403423792,0.9999484053871395,0.00950937463733672,0.03759563648334773
0.015,0.005,520,max_steps,0.005630120231488914,0.0021755922841773384,0,0,0.9969046627344912,0.09798748724257324,0.006463577242608667,0.07235080699654278,0.03093857011797952,0.029636923283285575,-0.008369039691444978,0.3713593995100073,0.5346153846153846,118.33066631192958,200.3112381829123,2,2,0.005567354822598729,0.0021437633791429878,0.9999521110168401,0.009431112852182231,0.037583566915614784
0.015,0.01,520,max_steps,0.0059560312452705405,0.0071973222463331404,0,0,0.9873248869224608,0.2719229798251068,0.016353340772121357,0.13503928104136745,-0.005708424554358636,0.16006567895316984,-0.09412500392924283,0.36398341284560065,0.5384615384615385,117.99493128000364,206.18174028183017,2,2,0.0056319600858254215,0.002142243519648479,0.9999591975883025,0.009409079693380226,0.037896465640119927
0.015,0.012,520,max_steps,0.00672276934352109,0.014006475783723292,0,0,0.9746798588322119,0.46440403788097545,0.020605613968902224,0.1805625333098461,-0.035232688653419775,0.3083574141009406,-0.1793624098029899,0.36353551766690956,0.5384615384615385,117.84352558983142,206.31606780045152,2,2,0.005632912002300386,0.0021415998526758268,0.9999620291274823,0.009367937151138176,0.03787325130744286
0.02,0.0,520,max_steps,0.00565939389555449,0.002378820016359938,0,0,0.9988808130489439,0.06360206171091744,0.008460451790365468,0.04404496336744753,0.04439188575562783,0.025326000488274717,-0.003962565802896624,0.35787348820714593,0.4615384615384615,117.07827077412568,210.0716149596784,2,2,0.005485410600086685,0.0023780426547813788,0.999976459069852,0.006844126649911754,0.04500244066716953
0.02,0.005,520,max_steps,0.00565939389555449,0.0023788200650746855,0,0,0.9955858255806642,0.12851390211161745,0.009091457773136835,0.0825087605291904,0.032560120182612375,0.03328093984424339,-0.015116936859567942,0.35787348820714593,0.4615384615384615,117.07827077412568,210.0716149596784,2,2,0.005485410600086685,0.0023780426547813788,0.999976459069852,0.006844126649911754,0.04500244066716953
0.02,0.01,520,max_steps,0.005931287898644957,0.014152767367932514,0,0,0.9734513918897907,0.4543873326604185,0.017497624170924715,0.18143698967882085,-0.027405023295130757,0.3074442234763797,-0.17120808497440945,0.35787348820714593,0.4615384615384615,117.07827077412568,210.0716149596784,2,2,0.005485410600086685,0.0023780426547813788,0.999976459069852,0.006844126649911754,0.04500244066716953
0.02,0.012,520,max_steps,0.007052320097159198,0.024116777645679106,0,0,0.9453386842395799,0.7963404714736971,0.033742187215809315,0.24932399712852354,-0.0715437715957654,0.529484539646637,-0.28698313802654596,0.35787348820714593,0.4615384615384615,117.07827077412568,210.0716149596784,2,2,0.005485410600086685,0.0023780426547813788,0.999976459069852,0.006844126649911754,0.04500244066716953
0.025,0.0,520,max_steps,0.0056485865244143285,0.002515375420556569,0,0,0.9983849910242809,0.06672456720035945,0.009109536841054562,0.04800033616567503,0.04696654663430055,0.02721330904463868,-0.004933637944706306,0.3591214472193201,0.4615384615384615,117.42534876249474,209.55414430794156,2,2,0.005224268554276948,0.002501695564589082,0.9999920921108492,0.0065842749324002406,0.05060479091839645
0.025,0.005,520,max_steps,0.0056485865244143285,0.002515375420556569,0,0,0.9938649829408635,0.1416141705443597,0.009456944735336752,0.09266863661833132,0.02948844698166873,0.042271432201601795,-0.02791642137657288,0.3591214472193201,0.4615384615384615,117.42534876249474,209.55414430794156,2,2,0.005224268554276948,0.002501695564589082,0.9999920921108492,0.0065842749324002406,0.05060479091839645
