ankle_bias,ik_gain,steps,reason,max_right_clearance,max_left_clearance,right_air_steps,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,phase_min_force,right_force_min,left_force_at_min,right_force_ratio,right_geoms,right_clear_at_min,left_clear_at_min,up_z_at_min,x_at_min,y_at_min
-0.08,0.55,520,max_steps,0.03426794996437314,0.004654885710652951,34,0.9902928283043424,0.3278724528727552,0.027782547174057044,0.04526416535669704,0.004916402160678477,0.011098022156496513,-0.028184762679434823,0.5884615384615385,0.0,278.01273838467193,0.0,none,0.028330619362279326,0.00359396245693544,0.9977847988790458,0.03835671349566178,0.10134569113148294
-0.06,0.55,520,max_steps,0.031407401814951885,0.0044047419343266475,20,0.9912150254880342,0.29001483074948786,0.033065121427074226,0.04096113173073714,0.013146738957877647,0.019158276045524343,-0.029870683248037107,0.6134615384615384,0.0,326.4009077729861,0.0,none,0.029076209308138354,0.0035387906760020044,0.9968635964206649,0.04710141425527117,0.10342772939911894
-0.04,0.55,520,max_steps,0.029877553081231994,0.005856627575545552,0,0.992886924148369,0.41511158044915064,0.06113545003519198,0.024235886625267728,0.02732635278466428,0.014543087231176843,-0.035694692534162416,0.4846153846153846,47.83455826590203,221.80073392870815,0.17740466344953565,31:47.8,0.004201653543493548,0.002758642568263192,0.9998740397217869,0.006396391100262477,0.06650605380408503
-0.02,0.55,451,x_position_limit,0.03354593159328147,0.061449658800136295,0,0.7863739408777427,2.031453229682561,0.3785795452138295,0.4280539780814945,-0.26327253588930927,1.1341567352589899,-0.37899223618566025,0.5076923076923077,56.82460850739213,220.73935777250327,0.20472617274135005,31:56.8,0.004061313755092194,0.0026872179846205158,0.9998269997036966,0.00717325029105321,0.06553915025634278
0.0,0.55,520,max_steps,0.0056469237661885135,0.0037291681107535363,0,0.9835655166768604,0.256759975533777,0.013638885588261374,0.09936986203828316,-0.015780709806639474,0.0711348459624904,-0.12943956217428643,0.6634615384615384,20.776304281995756,214.62108420122019,0.0882605555476548,31:20.8,0.003347443703264015,0.0021793624686549384,0.9992155610298978,0.012311241926276043,0.05849308734779749
0.02,0.55,428,x_position_limit,0.014387485125554614,0.025999116323399366,4,0.7913406527725116,2.0859431361734297,0.12927538495294427,-0.42877952093420907,-0.078122745004915,-1.158339976699405,-0.3156033534916731,0.6076923076923078,0.0,251.63804235518325,0.0,none,0.004103927467842841,0.0024539524280856595,0.9992932068790346,-0.008672126798803916,0.06560741207934431
0.04,0.55,403,x_position_limit,0.03386299899019572,0.028049622035812377,36,0.7638673816947587,2.3549787496915777,0.2534914815051058,-0.43090122724922036,-0.1387275365051857,-1.1866743341547707,-0.4593836615401883,0.5865384615384616,0.0,202.69721562893164,0.0,none,0.007488339972176239,0.00261225921315536,0.9993708830210462,-0.014288242024271636,0.06655353822587999
0.06,0.55,392,x_position_limit,0.0656238596187792,0.026730116577962947,73,0.83459486419544,1.8235886735522715,0.06335131917830938,-0.4214729039659661,0.1012450992426403,-1.1284267914595958,-0.26201667228549,0.6134615384615384,0.0,272.5378631576174,0.0,33:0.0,0.034942075572651665,0.005703800475761314,0.9957276427442439,-0.056152874555918136,0.1100173510043844
0.08,0.55,386,x_position_limit,0.10240743760358,0.027983615125274044,76,0.7981078710682636,1.7722633065075104,0.05364532607227082,-0.4251683681956316,0.2914556910582969,-1.1232531062160358,0.3293122110160644,0.5942307692307692,0.0,277.778379518353,0.0,33:0.0,0.03556022087771961,0.005474870629321046,0.9960955811845819,-0.04875217714115905,0.1167890904533887
-0.08,0.8,520,max_steps,0.03343910385090228,0.004247171390421606,30,0.9902038372717705,0.329673286780431,0.027156509708582202,0.04805405811283068,0.010904581385413495,0.031455605377740475,-0.02841144182178245,0.5923076923076923,0.0,309.24767545558984,0.0,none,0.02894491880049735,0.0036237798760513917,0.9973546852128464,0.040277014478145974,0.10434264314486492
-0.06,0.8,520,max_steps,0.03076983287865677,0.0039495376852593245,14,0.9916342380869216,0.29472544459240485,0.0408429594242708,0.040373535924888466,0.019662283453866638,0.032882636931159115,-0.03178815611267334,0.6192307692307693,0.0,325.41678341797297,0.0,none,0.029516039109209066,0.0036270600034480904,0.996282087151025,0.04958185248438266,0.10655771708569702
-0.04,0.8,520,max_steps,0.02859333046444422,0.004915631200489337,0,0.9930153809752604,0.39761555022993916,0.05916909489442129,0.02705587012156165,0.027459404829716906,0.020187282067015817,-0.030279763314508303,0.49615384615384617,59.307020892651934,220.736254447987,0.21177805758953533,31:59.3,0.004132922884601327,0.0027150639524240183,0.9998536180655337,0.006782450799107249,0.06585535304587241
