knee_bias,steps,reason,reward,right_clearance,left_clearance,right_air_steps,right_air_streak,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,left_contact,right_contact
0.0,520,max_steps,21000.959660236167,0.0056289980901030046,0.002177817848092338,0,0,0.9991776634100121,0.05907504519699688,0.006519960889161299,0.04090598811405108,0.039884313116889995,0.022941905451272615,-0.00261380390130857,1,1
0.03,439,up_z_low,16583.98956317711,0.007937437243972452,0.032473126356786314,0,0,0.6941968687882997,2.965303849723061,0.1855643400304537,-0.40402120186270485,-0.2255754534953571,-1.0478028692780232,-0.48699129788853657,0,1
0.06,389,up_z_low,14669.341756364644,0.021135245448719232,0.03241333642582128,0,0,0.6907046932059704,3.1192733600264035,0.17390585636364414,-0.3517564250023284,-0.23102242700184897,-1.002723982963429,-0.5558167499805516,0,1
0.09,378,up_z_low,14093.3595143507,0.06484803578529032,0.028649597654504942,2,1,0.6919988728404389,3.002256470003822,0.22089310943036317,-0.3313789772432699,-0.22806176380995416,-0.924448137267605,-0.9128281362610016,1,1
0.12,372,up_z_low,13547.830586917613,0.1413945311460581,0.02236479608579966,51,49,0.6864401165152603,3.968758241192211,0.2685606769885578,-0.26725295161279133,-0.27483710096019315,-0.6024828165775641,-1.2090081627386369,1,0
0.16,368,up_z_low,13215.148039522453,0.3068001154784266,0.024358562108650617,59,59,0.6812924549798092,4.7060151373821135,0.38457858058660416,-0.253787552814922,-0.2729846662777231,-0.45256213638268444,-1.1837703658580065,1,0
0.2,364,up_z_low,13045.102086717628,0.4336495359691138,0.027263924117975888,63,62,0.6997229049930529,4.567499542710056,0.4002647408048733,-0.23210609691140685,-0.25234968004792063,-0.3545925418895356,-1.1564881197160475,1,0
