ankle,knee,hip,lift_height,steps,reason,left_clearance,right_clearance,left_air_steps,left_air_streak,first_air_step,last_air_step,left_force_min,left_force_ratio,min_up_z,support_slip,max_root_ang_vel,final_x,final_y,final_x_velocity,final_y_velocity
-0.09,0.0,0.0,0.008,520,max_steps,0.011389753093546368,0.007589768290151774,38,11,457,520,70.7342641469298,0.21639842511604723,0.980523080418345,0.11147082626290235,0.5576785327760753,0.003255703986653637,-0.2460473726660287,0.00396836521901672,-0.4472098371184194
-0.06,0.0,0.0,0.008,520,max_steps,0.005109276152438655,0.005041050359683566,4,1,488,516,68.02333841869091,0.20812874578741758,0.9957231899932887,0.07983503053414054,0.2297841190892178,0.0017515832403473444,-0.15335106198123483,0.005083891242656852,-0.14550983855326707
-0.03,0.0,0.0,0.008,520,max_steps,0.00470420949104932,0.003931883195751891,0,0,-1,-1,75.6408789980756,0.2313263452253508,0.997903495690079,0.04411955310334449,0.10213162524607537,6.0904299808933334e-05,-0.11814892950574975,0.0026589031570030544,-0.048935649774316
0.0,0.0,0.0,0.008,520,max_steps,0.004608024891106163,0.003712237424779871,0,0,-1,-1,79.1218573637,0.24192435299475332,0.998196382304511,0.03271668515686105,0.031612002852616304,-0.0003411302006245126,-0.11130788034033358,0.000613076534435964,-0.03736207011654397
0.03,0.0,0.0,0.008,520,max_steps,0.004735827677575646,0.004103168087176916,0,0,-1,-1,54.25574156550414,0.17891787763797792,0.997641982723236,0.05726224322783485,0.10195017044171883,-0.0005971116620349615,-0.12243839177555192,-0.002213625962656409,-0.06300459284569801
0.045,0.0,0.0,0.008,520,max_steps,0.00512296886129672,0.005276359949896281,7,3,494,519,50.818753934617654,0.16230987196136604,0.9950551283008374,0.10426734054599274,0.1856766153778474,-0.0003572717816006067,-0.1592800729366422,0.0006000899135425726,-0.16859412471537213
0.06,0.0,0.0,0.008,520,max_steps,0.011422997887893666,0.007728522773466848,30,24,480,520,55.09380051356555,0.16848562271654205,0.9787925706365315,0.10861095930938229,0.6138272605750569,-0.006964929998103148,-0.25520117105793283,0.014545924850736485,-0.46441283318567944
-0.09,-0.004,0.0,0.008,520,max_steps,0.011956441826341146,0.007733037679834277,34,14,457,520,68.0888184079621,0.20827690522881945,0.9790242619056385,0.12070021480520508,0.5927327664414713,0.0026619111067383264,-0.25182974599330304,0.00608049418467645,-0.4666292823854537
-0.06,-0.004,0.0,0.008,520,max_steps,0.005133631001086311,0.005076453704671469,4,1,499,516,68.54382493083583,0.2097095580898483,0.9956301932544022,0.08191594933250672,0.23091705747654673,0.0020386257481548667,-0.15444895774507217,0.004781716775900794,-0.1494641699233884
-0.03,-0.004,0.0,0.008,520,max_steps,0.004703528337618293,0.003953493940257763,0,0,-1,-1,75.18627790659679,0.2299391193434727,0.9978752942323438,0.05435732330085615,0.11476031789901552,6.815454015734737e-05,-0.11891291158089053,0.00316767315591657,-0.050209790146640156
0.0,-0.004,0.0,0.008,520,max_steps,0.0046107405038471674,0.0037187005003162174,0,0,-1,-1,78.95428950799169,0.24141258771566151,0.9981891394981538,0.03271668515686105,0.031612002852616304,-0.00028818749191170166,-0.11149839601224266,0.0010725552277454822,-0.03756343373549726
0.03,-0.004,0.0,0.008,520,max_steps,0.004725427263039553,0.0040500475564657495,0,0,-1,-1,74.77528670895107,0.22878350016216467,0.9977218556504985,0.04116009591149577,0.09481467814268515,-0.0005272423757595492,-0.12096352779030647,-0.0019917449985297412,-0.058872289316298024
0.045,-0.004,0.0,0.008,520,max_steps,0.005036876150501038,0.005054294121650045,2,1,509,518,48.73473810113718,0.15731983558584134,0.9956783380682238,0.09132407233437342,0.17795156614568464,-0.0007419533778397466,-0.1520921227288724,-0.0005408250387734725,-0.14563082570544883
0.06,-0.004,0.0,0.008,520,max_steps,0.009090947450521233,0.007262900474068801,35,22,474,520,51.9487923126681,0.15887242848775437,0.9839119746965519,0.11262292130691974,0.5084385558212007,-0.0008106172674209657,-0.23290531924749244,0.025937340727721275,-0.3999343772076891
-0.09,0.004,0.0,0.008,520,max_steps,0.0108801974940642,0.007457085753633373,27,17,459,520,49.44811364949021,0.17077131001090476,0.9818373265316148,0.1082123921723523,0.5260250107682718,0.0035954280395294924,-0.2407564530452619,0.0022172838451611945,-0.42949889293773424
-0.06,0.004,0.0,0.008,520,max_steps,0.005013819267553357,0.004983632235765305,2,1,498,519,67.93333450284337,0.207881281990669,0.9958880078611901,0.08433888654586713,0.22674886991788432,0.0015696089645816154,-0.1514751360535517,0.005090850940847559,-0.1402350417726637
-0.03,0.004,0.0,0.008,520,max_steps,0.004685062146247226,0.003908248854077409,0,0,-1,-1,76.06701986072304,0.2326251426787598,0.9979387899221739,0.04709386927933469,0.09370696160405931,3.694947294925347e-05,-0.1174170993202789,0.002322059959468931,-0.047437999353556574
0.0,0.004,0.0,0.008,520,max_steps,0.004605037667369895,0.003705946041962907,0,0,-1,-1,79.2924301042685,0.2424456582288788,0.9982035120358337,0.03271668515686105,0.031612002852616304,-0.00039606854891854865,-0.11112082965617298,0.00015873752370490412,-0.03715891035385124
0.03,0.004,0.0,0.008,520,max_steps,0.004752983262592464,0.004152379294814101,0,0,-1,-1,73.04987277658377,0.223383465443531,0.9975609583277522,0.05128203026853073,0.10929316339136402,-0.0006510670326997657,-0.12377486810200133,-0.0024281503644017297,-0.06645748321324556
0.045,0.004,0.0,0.008,520,max_steps,0.005228115709957945,0.005498730631218959,4,1,511,519,54.691884231939866,0.18306047325311636,0.9943548501741133,0.1046557429516391,0.19859074094686716,2.784173519094908e-05,-0.16667795673313604,0.003031641706640092,-0.19172337396411285
0.06,0.004,0.0,0.008,516,y_position_limit,0.01678318237976055,0.008700785235035327,24,18,446,516,72.06049936556134,0.2215922163384086,0.9658135958277343,0.14806359856064172,0.7956494305706534,0.025102973307306587,-0.3000169604739546,-0.026317081886289038,-0.6075580795805611
-0.09,0.0,0.0,0.01,520,max_steps,0.011984329152827614,0.007753328733682369,32,19,465,520,57.48565152591906,0.19610566641254162,0.9788340110452382,0.11661603540107605,0.5957525316522078,0.002593027857306889,-0.2528264656044724,-0.0002754516755457645,-0.4687698086067715
-0.06,0.0,0.0,0.01,520,max_steps,0.005196040334353905,0.005195674752803137,1,1,516,516,52.52981907575101,0.1762951961674945,0.9953011610273244,0.08548508327537833,0.23492203373121573,0.0014781621547532882,-0.15843394764719565,0.005083552365649702,-0.16097867646835043
