template,preload_sign,preload_amp,steps,reason,left_force_min,right_force_at_min,left_force_ratio,min_up_z,support_slip,max_root_ang_vel,left_clearance,right_clearance,final_x,final_y,final_x_velocity,final_y_velocity
right_support_c,1.0,0.08,420,max_steps,139.13837166132413,187.94427747444743,0.42539208982488086,0.9999749221915009,0.009991358105135623,0.012232818936978815,0.0026916283664258217,0.0016492128821591345,-0.00023561270898851775,-0.025009013367111362,0.00013976147521304946,0.0006763942446959093
right_support_c,1.0,0.1,420,max_steps,127.7177319960332,199.38287788455776,0.3904539708521392,0.9999424052965659,0.013043739533188431,0.015678251823475788,0.003134304990935581,0.001663287086663967,-0.0001921097469906616,-0.0344163895840348,0.00019156517888573813,0.0010079529753747331
right_support_c,1.0,0.12,420,max_steps,116.30607983074887,210.82438507243728,0.3555342357526056,0.9998621972002195,0.01672596745961318,0.018530533095391287,0.003581885891518241,0.0017110313753989637,-0.0004029963511332488,-0.045281603153013314,-8.496999194543419e-05,0.0005389770428362367
right_support_c,1.0,0.14,420,max_steps,105.60508370078931,221.57097058009464,0.3227775453582745,0.9996744439341503,0.02465062629201783,0.021202819952079042,0.004054194777686412,0.002096111080168425,-0.0002034062741977583,-0.06125956008687311,0.0003100830129117925,-0.005393975862825461
right_support_c,1.0,0.16,420,max_steps,80.92754270175807,246.12688200569102,0.24744365643164112,0.9991022485650592,0.03271668515686105,0.031612002852616304,0.004531261807621409,0.0028130211972014416,-0.00046789351443510735,-0.08863928562554577,0.00013592158168504624,-0.014397562319799483
right_support_c,1.0,0.18,409,y_position_limit,0.0,304.18831257126294,0.0,0.9694844487015932,0.1377123326165686,0.7888132961379997,0.01041537840141317,0.008537893045834924,0.001902867967112823,-0.3059838173382841,0.005545575381220716,-0.6080856573809779
right_support_c,1.0,0.2,307,y_position_limit,0.0,251.82711474786163,0.0,0.9726414411151558,0.17275920933412026,0.7241052688206923,0.008273178299362909,0.008211092031501555,0.0014917196272887009,-0.30468328276708534,0.0006485166058683403,-0.6059000482299547
right_support_c,1.0,0.24,253,y_position_limit,0.0,277.8225769398674,0.0,0.974357791078103,0.24876605699553056,0.720059308685774,0.008137849624221608,0.007746936841955043,0.004224233952604627,-0.30006028733558826,0.003930460631466979,-0.6335934420021045
right_support_d,-1.0,0.08,420,max_steps,139.13837166132413,187.94427747444743,0.42539208982488086,0.9999749221915009,0.009991358105135623,0.012232818936978815,0.0026916283664258217,0.0016492128821591345,-0.00023561270898851775,-0.025009013367111362,0.00013976147521304946,0.0006763942446959093
right_support_d,-1.0,0.1,420,max_steps,127.7177319960332,199.38287788455776,0.3904539708521392,0.9999424052965659,0.013043739533188431,0.015678251823475788,0.003134304990935581,0.001663287086663967,-0.0001921097469906616,-0.0344163895840348,0.00019156517888573813,0.0010079529753747331
right_support_d,-1.0,0.12,420,max_steps,116.30607983074887,210.82438507243728,0.3555342357526056,0.9998621972002195,0.01672596745961318,0.018530533095391287,0.003581885891518241,0.0017110313753989637,-0.0004029963511332488,-0.045281603153013314,-8.496999194543419e-05,0.0005389770428362367
right_support_d,-1.0,0.14,420,max_steps,105.60508370078931,221.57097058009464,0.3227775453582745,0.9996744439341503,0.02465062629201783,0.021202819952079042,0.004054194777686412,0.002096111080168425,-0.0002034062741977583,-0.06125956008687311,0.0003100830129117925,-0.005393975862825461
right_support_d,-1.0,0.16,420,max_steps,80.92754270175807,246.12688200569102,0.24744365643164112,0.9991022485650592,0.03271668515686105,0.031612002852616304,0.004531261807621409,0.0028130211972014416,-0.00046789351443510735,-0.08863928562554577,0.00013592158168504624,-0.014397562319799483
right_support_d,-1.0,0.18,409,y_position_limit,0.0,304.18831257126294,0.0,0.9694844487015932,0.1377123326165686,0.7888132961379997,0.01041537840141317,0.008537893045834924,0.001902867967112823,-0.3059838173382841,0.005545575381220716,-0.6080856573809779
right_support_d,-1.0,0.2,307,y_position_limit,0.0,251.82711474786163,0.0,0.9726414411151558,0.17275920933412026,0.7241052688206923,0.008273178299362909,0.008211092031501555,0.0014917196272887009,-0.30468328276708534,0.0006485166058683403,-0.6059000482299547
right_support_d,-1.0,0.24,253,y_position_limit,0.0,277.8225769398674,0.0,0.974357791078103,0.24876605699553056,0.720059308685774,0.008137849624221608,0.007746936841955043,0.004224233952604627,-0.30006028733558826,0.003930460631466979,-0.6335934420021045
