preload_amp,knee_bias,steps,reason,max_right_clearance,max_left_clearance,right_air_steps,right_air_streak,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,right_force_ratio,phase_min_force,right_force_min,left_force_at_min,right_contacts_at_min,left_contacts_at_min,right_clear_at_min,left_clear_at_min,up_z_at_min,x_at_min,y_at_min
0.03,0.0,520,max_steps,0.005643518715947982,0.00262775433256706,0,0,0.9972562462644066,0.07753395208667943,0.009906309781125965,0.05751858152473856,0.046376697465060464,0.028832127789180997,-0.009382751217797925,0.34317880715312965,0.4615384615384615,112.2073552720681,214.75734340176382,2,2,0.004975302151963186,0.0026071546348002683,0.9999911528127103,0.0066594462496831685,0.055944240025345864
0.03,0.002,520,max_steps,0.005643518715947982,0.00262775433256706,0,0,0.9955543560177569,0.0994680863816514,0.009906309781125965,0.07406426413730026,0.04011329872899867,0.027599679716829542,-0.013506285812113054,0.34317880715312965,0.4615384615384615,112.2073552720681,214.75734340176382,2,2,0.004975302151963186,0.0026071546348002683,0.9999911528127103,0.0066594462496831685,0.055944240025345864
0.03,0.004,520,max_steps,0.005643518715947982,0.00262775433256706,0,0,0.9926166219660784,0.1486243543995162,0.009906309781125965,0.09541447986760801,0.027582071276010055,0.04090201838419085,-0.034530975431227406,0.34317880715312965,0.4615384615384615,112.2073552720681,214.75734340176382,2,2,0.004975302151963186,0.0026071546348002683,0.9999911528127103,0.0066594462496831685,0.055944240025345864
0.03,0.006,520,max_steps,0.005643518715947982,0.008418070770893356,0,0,0.9824247172379674,0.27796154137271306,0.011602352484229356,0.1413245366321664,-0.00237159559090172,0.17708026551355424,-0.1127158612680279,0.34317880715312965,0.4615384615384615,112.2073552720681,214.75734340176382,2,2,0.004975302151963186,0.0026071546348002683,0.9999911528127103,0.0066594462496831685,0.055944240025345864
0.034,0.0,520,max_steps,0.0056455147766979324,0.0027139852286017577,0,0,0.9955568894500306,0.08963204165249265,0.010434918690514253,0.06772793234058617,0.041053147027595424,0.0275543630827755,-0.016895944115224628,0.32940029045995994,0.4615384615384615,107.65762004668562,219.17153938227935,2,2,0.004776826395804928,0.002691798083627475,0.9999787363867433,0.006794588896482465,0.06015487473260472
0.034,0.002,520,max_steps,0.0056455147766979324,0.0027139852286017577,0,0,0.9929811847007394,0.11601738828780216,0.010434918690514253,0.08559671339265773,0.03078599793927344,0.0296166985784931,-0.030035116729055837,0.32940029045995994,0.4615384615384615,107.65762004668562,219.17153938227935,2,2,0.004776826395804928,0.002691798083627475,0.9999787363867433,0.006794588896482465,0.06015487473260472
0.034,0.004,520,max_steps,0.0056455147766979324,0.00502580766742132,0,0,0.9864689106338878,0.21484345506552108,0.010453850574351449,0.11785583731452255,0.004703541727524065,0.10255370362265386,-0.09533373231637077,0.32940029045995994,0.4615384615384615,107.65762004668562,219.17153938227935,2,2,0.004776826395804928,0.002691798083627475,0.9999787363867433,0.006794588896482465,0.06015487473260472
0.034,0.006,520,max_steps,0.0056455147766979324,0.014895202471954222,0,0,0.965438433885201,0.4968153225232058,0.02015705599713127,0.18439068251442675,-0.04390199058588453,0.32840721754805335,-0.21486709706707044,0.32940029045995994,0.4615384615384615,107.65762004668562,219.17153938227935,2,2,0.004776826395804928,0.002691798083627475,0.9999787363867433,0.006794588896482465,0.06015487473260472
0.038,0.0,520,max_steps,0.005642196861110921,0.0027972653604185355,0,0,0.9926813459940876,0.11723730702021339,0.011584278882507916,0.07624207518104861,0.027811905174225132,0.026788177312445205,-0.03637203214211012,0.1313878036713871,0.6307692307692307,32.49274815814273,214.81139461762103,1,2,0.003793830539506722,0.002401854735165014,0.9996695241696466,0.012220320977134486,0.061319567302742906
0.038,0.002,520,max_steps,0.005642196861110921,0.0032924335516353875,0,0,0.9871499513638904,0.21166257881407016,0.01127039902694412,0.10254582465369086,0.0034595865770330487,0.06178840397384808,-0.09725659941745708,0.15780834806264632,0.47115384615384615,40.489143255060824,216.08247511703922,1,2,0.004508182257530198,0.0027530167216734402,0.9999457651511736,0.006665145467451197,0.06379539172648198
