sign,amp,steps,reason,reward,right_clearance,left_clearance,right_air_steps,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,left_contact,right_contact
-1.0,0.0,520,max_steps,21219.551520976805,0.0016141298571801313,0.0016424694569112247,0,0.9998053241448993,0.018945216231446172,0.0009911672312840631,0.020102468573565013,-0.003026670163898887,0.006404557295609767,-0.0013162370416940838,1,1
-1.0,0.015,520,max_steps,21002.00550525068,0.0056295067991224065,0.002176401808589204,0,0.9991856779965813,0.058892430139383355,0.00650856887755932,0.04067610896497367,0.03994628975426392,0.022831490597138352,-0.0025704800345533415,1,1
-1.0,0.03,520,max_steps,20874.52408652794,0.005643518715947982,0.00262775433256706,0,0.9974018834989861,0.07564047925691321,0.009906309781125965,0.05586460891151986,0.04689696412242394,0.02870261269395674,-0.008975151127894787,1,1
-1.0,0.045,520,max_steps,20663.05672804371,0.005656175359973391,0.004672518761519806,0,0.9773250169052485,0.31217522455373625,0.01556363851501919,0.10267663479543093,-0.04294053768079547,0.0984347062611839,-0.17821912961006225,1,1
-1.0,0.06,477,y_position_limit,18100.637992436696,0.052867257331167525,0.04280165372363659,0,0.7812947006036199,1.3246559045098174,0.3016307481633851,0.3139925276292582,-0.30196799311625244,0.8402843405154448,-0.2630714187981329,0,1
1.0,0.0,520,max_steps,21219.551520976805,0.0016141298571801313,0.0016424694569112247,0,0.9998053241448993,0.018945216231446172,0.0009911672312840631,0.020102468573565013,-0.003026670163898887,0.006404557295609767,-0.0013162370416940838,1,1
1.0,0.015,392,y_position_limit,15391.877225512797,0.006444630228331159,0.008043544710696272,0,0.9722000755741196,0.9611757860112737,0.20365390682670717,0.1050025544594058,-0.30348307942529834,0.3101021014475188,-0.668114739625341,1,1
1.0,0.03,285,y_position_limit,11224.922505481354,0.0063660932549937585,0.007668369358515656,0,0.9807239415860886,0.7198793388259271,0.24299284449757005,0.009755057444555074,-0.3022104212781312,0.025748361426851243,-0.6970306713468648,1,1
1.0,0.045,250,y_position_limit,9816.529596761622,0.006451941490217369,0.007846175706168662,0,0.9819281335051154,0.7380580508494384,0.24689020342519014,-0.0017538549522984634,-0.3034146004632,-0.008477232545425838,-0.7245843939105368,1,1
1.0,0.06,229,y_position_limit,8960.387307395658,0.0067125101082280425,0.007971446947837163,0,0.9828074502734141,0.7966223714151328,0.25884969222796345,-0.0052233847777571115,-0.30556891110570455,-0.01932816070121348,-0.7501161415007549,1,1
