sign,amp,steps,reason,reward,right_clearance,left_clearance,right_air_steps,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,left_contact,right_contact
-1.0,0.0,520,max_steps,21215.444316367662,0.0016144009963157263,0.0016455841969587742,0,0.9997459125587801,0.023262811957418368,0.0009402943682513452,0.01927561303573355,-0.003850239107432685,0.0032195147526773425,-0.000903586045742367,1,1
-1.0,0.015,520,max_steps,21000.959660236167,0.0056289980901030046,0.002177817848092338,0,0.9991776634100121,0.05907504519699688,0.006519960889161299,0.04090598811405108,0.039884313116889995,0.022941905451272615,-0.00261380390130857,1,1
-1.0,0.03,520,max_steps,20871.04587969283,0.005643518715947982,0.00262775433256706,0,0.9972562462644066,0.07753395208667943,0.009906309781125965,0.05751858152473856,0.046376697465060464,0.028832127789180997,-0.009382751217797925,1,1
-1.0,0.045,520,max_steps,20544.45718992818,0.005656175359973391,0.009745904061015796,0,0.9583232292631142,0.47907126516046183,0.018807600643580488,0.1447810805834625,-0.09201473981618451,0.23012506914333236,-0.3000706114308986,1,1
-1.0,0.06,464,y_position_limit,17491.255461490215,0.06007801957675163,0.045300679796124066,0,0.7579999562209294,1.6285686151744234,0.3318398677868642,0.3511335993517702,-0.3011169217426258,0.964659093385138,-0.21159656743832272,0,1
1.0,0.0,520,max_steps,21215.444316367662,0.0016144009963157263,0.0016455841969587742,0,0.9997459125587801,0.023262811957418368,0.0009402943682513452,0.01927561303573355,-0.003850239107432685,0.0032195147526773425,-0.000903586045742367,1,1
1.0,0.015,391,y_position_limit,15346.759406868225,0.006398266365578248,0.008051725118722208,0,0.9723195665497806,0.9465496681364041,0.198374990313234,0.10718103575629669,-0.30117335938750894,0.31521661663252987,-0.6620865231661007,1,1
1.0,0.03,285,y_position_limit,11217.895324082403,0.00637123713551585,0.007649380346265264,0,0.9807347480008339,0.7202511398893159,0.2540425202927478,0.009770327136710383,-0.3022309038123217,0.025822746032109076,-0.6981983212387161,1,1
1.0,0.045,250,y_position_limit,9816.638773257844,0.006452020764248827,0.007845602284140815,0,0.9819218199650221,0.7573964257351463,0.24689020342519014,-0.001753456441109015,-0.3034207344677059,-0.008245250303432013,-0.7275493127561956,1,1
1.0,0.06,229,y_position_limit,8960.387307395658,0.0067125101082280425,0.007971446947837163,0,0.9828074502734141,0.7966223714151328,0.25884969222796345,-0.0052233847777571115,-0.30556891110570455,-0.01932816070121348,-0.7501161415007549,1,1
