sign,amp,steps,reason,reward,right_clearance,left_clearance,right_air_steps,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,left_contact,right_contact
-1.0,0.0,520,max_steps,21222.43263879037,0.0016142371368525338,0.0016441424058971157,0,0.9998005477311895,0.020634137514163133,0.0011251514387666589,0.020678027833642414,-0.0025436786450521863,0.007375024716298446,-0.0012746847052789144,1,1
-1.0,0.015,520,max_steps,21003.51704113821,0.005630246921139004,0.0021743481551936977,0,0.9991978329586789,0.05861397915308796,0.006490993033911425,0.04033684238763847,0.04003434771358524,0.022672866719688413,-0.0025050955105144486,1,1
-1.0,0.03,520,max_steps,20877.871193322062,0.005643518715947982,0.00262775433256706,0,0.9975464266435278,0.07366604930740683,0.009906309781125965,0.054197168768169116,0.0474139055682335,0.028571416503491227,-0.008570137463371574,1,1
-1.0,0.045,520,max_steps,20743.272895338156,0.005656175359973391,0.0032778380583339886,0,0.9867392974771022,0.19070888202674904,0.01401150406316268,0.07416720486341326,-0.008438303463945843,0.04399966988984287,-0.10234041271956924,1,1
-1.0,0.06,500,y_position_limit,19107.01828009708,0.04775963715447956,0.03779134218244325,0,0.7990733444878206,1.0961224242527237,0.26019076558668613,0.2774663710426298,-0.3016059801916971,0.7299757096427806,-0.3011161124039097,0,1
1.0,0.0,520,max_steps,21222.43263879037,0.0016142371368525338,0.0016441424058971157,0,0.9998005477311895,0.020634137514163133,0.0011251514387666589,0.020678027833642414,-0.0025436786450521863,0.007375024716298446,-0.0012746847052789144,1,1
1.0,0.015,393,y_position_limit,15443.731716183805,0.006480324918760376,0.008081184422405643,0,0.9724502837292187,0.9692095227714791,0.2115534589559645,0.10187428512667233,-0.3051289228727851,0.30062639192678475,-0.6743824796869489,1,1
1.0,0.03,285,y_position_limit,11214.710554737712,0.006361149362935761,0.007612891176657713,0,0.9807320111160086,0.7315955555635434,0.25893204150132443,0.009719721907788715,-0.3021379555270774,0.025486587309063145,-0.699518009510722,1,1
1.0,0.045,250,y_position_limit,9816.528558837279,0.006451822590861855,0.00784703593856255,0,0.9819274556788934,0.7381647082689488,0.24689020342519014,-0.0017537468470566894,-0.30341427258364906,-0.008472282782753141,-0.7245735747256984,1,1
1.0,0.06,229,y_position_limit,8960.387307395658,0.0067125101082280425,0.007971446947837163,0,0.9828074502734141,0.7966223714151328,0.25884969222796345,-0.0052233847777571115,-0.30556891110570455,-0.01932816070121348,-0.7501161415007549,1,1
