knee_bias,steps,reason,reward,right_clearance,left_clearance,right_air_steps,right_air_streak,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,left_contact,right_contact
0.0,520,max_steps,21000.959660236167,0.0056289980901030046,0.002177817848092338,0,0,0.9991776634100121,0.05907504519699688,0.006519960889161299,0.04090598811405108,0.039884313116889995,0.022941905451272615,-0.00261380390130857,1,1
0.005,520,max_steps,20969.82676039432,0.005630844790576933,0.002177941950027164,0,0,0.9979742196654038,0.0854597484873581,0.006515656867082183,0.05915346449312872,0.035773615325293266,0.02916470902408616,-0.0055149780318957745,1,1
0.01,520,max_steps,20867.36298130072,0.005633961982006906,0.003413033603119245,0,0,0.993552275995234,0.17471376424414825,0.013543359406479053,0.09866401087439543,0.020174249259013302,0.06987026755155999,-0.034843306897700654,1,1
0.015,520,max_steps,20491.14322500572,0.007481352779506345,0.027983621289624103,0,0,0.9366431146764452,0.8750793140800773,0.03773593229574543,0.2677563762006006,-0.06225992543660104,0.5825132596095939,-0.29687142008055417,1,1
0.02,520,max_steps,20881.36293405496,0.0059958213037488856,0.005465553722690683,0,0,0.991317534644953,0.3302100565583842,0.023854745501818965,0.001851998162264567,-0.0008043725164659849,0.09688239776619459,-0.001984260323973582,1,1
0.025,465,x_position_limit,17671.530860389128,0.007536018352403931,0.032177474417092636,1,1,0.7130925364745136,2.633258962098308,0.18483965646587122,-0.4292124535847274,-0.1659870829913056,-1.1058349093868052,-0.39787408276095754,1,0
0.03,439,up_z_low,16583.98956317711,0.007937437243972452,0.032473126356786314,0,0,0.6941968687882997,2.965303849723061,0.1855643400304537,-0.40402120186270485,-0.2255754534953571,-1.0478028692780232,-0.48699129788853657,0,1
