template,preload_sign,preload_amp,steps,reason,left_force_min,right_force_at_min,left_force_ratio,min_up_z,support_slip,max_root_ang_vel,left_clearance,right_clearance,final_x,final_y,final_x_velocity,final_y_velocity
same_failed,-1.0,0.02,420,max_steps,159.7228645411997,167.3537423218756,0.4883347240056969,0.999999221146434,0.0005084768939129335,0.0035119490351884133,0.001622010878220767,0.0016156806706718804,-5.055124946919511e-05,0.00678355653180675,-1.1842992246494385e-05,1.389271532979927e-06
same_failed,-1.0,0.04,420,max_steps,155.75758792181443,171.3190232934302,0.4762113296426216,0.9999992207260305,0.0005084768939129335,0.0035119490351884133,0.001633997984533557,0.0016181959055707254,-1.3193765593146451e-05,0.013558633591872626,-1.3027198347385802e-05,1.8614828123577158e-06
same_failed,-1.0,0.06,420,max_steps,154.57235654544596,172.5044559120858,0.47258732706867107,0.9999980542376363,0.0005084768939129335,0.0036273842818025483,0.00167938801954029,0.001659178823467694,-0.0004508337382747511,0.020735877688559435,0.00011566937380832183,-6.5767959464558416e-06
same_failed,-1.0,0.08,420,max_steps,157.83772986412902,169.2403295990979,0.48256899323408936,0.9999965887871969,0.0008398687615499571,0.004789477820831256,0.0017931003280477337,0.0017918689640569682,-0.0007972293212333493,0.02880809572845193,6.124203567165975e-05,2.40362351271077e-06
same_failed,1.0,0.02,420,max_steps,166.5504949624081,160.52787307811207,0.509206695509056,0.9999992210532838,0.0005084768939129335,0.0035119490351884133,0.0016153487975597847,0.001622338860038569,-5.050975305164651e-05,-0.006782412232817495,-1.1849712753993829e-05,-1.3910856711150564e-06
same_failed,1.0,0.04,420,max_steps,169.161270664614,157.92728154900584,0.5171727029875862,0.9999992204830211,0.0005084768939129335,0.0035119490351884133,0.0016178783737234512,0.0016343169347869113,-1.3114848272175886e-05,-0.01355743702911987,-1.3037791469305199e-05,-1.8469322974640275e-06
same_failed,1.0,0.06,420,max_steps,169.14586655752987,157.9552306222417,0.5171057756023636,0.9999980529638597,0.0005084768939129335,0.0036269559481505995,0.0016587738945186281,0.001679761431823766,-0.000450640243046668,-0.02073408221987801,0.00011556115185027548,6.589962161159046e-06
same_failed,1.0,0.08,420,max_steps,164.8514537845441,162.21648882741113,0.5040281614518535,0.9999965849325677,0.0005084768939129335,0.004789043281390789,0.0017909184065262457,0.0017936256795084982,-0.0007971587775494981,-0.028803239093997898,6.127105714009271e-05,-2.4618779408178477e-06
same_inverse,-1.0,0.02,420,max_steps,166.5504949624081,160.52787307811207,0.509206695509056,0.9999992210532838,0.0005084768939129335,0.0035119490351884133,0.0016153487975597847,0.001622338860038569,-5.050975305164651e-05,-0.006782412232817495,-1.1849712753993829e-05,-1.3910856711150564e-06
same_inverse,-1.0,0.04,420,max_steps,169.161270664614,157.92728154900584,0.5171727029875862,0.9999992204830211,0.0005084768939129335,0.0035119490351884133,0.0016178783737234512,0.0016343169347869113,-1.3114848272175886e-05,-0.01355743702911987,-1.3037791469305199e-05,-1.8469322974640275e-06
same_inverse,-1.0,0.06,420,max_steps,169.14586655752987,157.9552306222417,0.5171057756023636,0.9999980529638597,0.0005084768939129335,0.0036269559481505995,0.0016587738945186281,0.001679761431823766,-0.000450640243046668,-0.02073408221987801,0.00011556115185027548,6.589962161159046e-06
same_inverse,-1.0,0.08,420,max_steps,164.8514537845441,162.21648882741113,0.5040281614518535,0.9999965849325677,0.0005084768939129335,0.004789043281390789,0.0017909184065262457,0.0017936256795084982,-0.0007971587775494981,-0.028803239093997898,6.127105714009271e-05,-2.4618779408178477e-06
same_inverse,1.0,0.02,420,max_steps,159.7228645411997,167.3537423218756,0.4883347240056969,0.999999221146434,0.0005084768939129335,0.0035119490351884133,0.001622010878220767,0.0016156806706718804,-5.055124946919511e-05,0.00678355653180675,-1.1842992246494385e-05,1.389271532979927e-06
same_inverse,1.0,0.04,420,max_steps,155.75758792181443,171.3190232934302,0.4762113296426216,0.9999992207260305,0.0005084768939129335,0.0035119490351884133,0.001633997984533557,0.0016181959055707254,-1.3193765593146451e-05,0.013558633591872626,-1.3027198347385802e-05,1.8614828123577158e-06
same_inverse,1.0,0.06,420,max_steps,154.57235654544596,172.5044559120858,0.47258732706867107,0.9999980542376363,0.0005084768939129335,0.0036273842818025483,0.00167938801954029,0.001659178823467694,-0.0004508337382747511,0.020735877688559435,0.00011566937380832183,-6.5767959464558416e-06
same_inverse,1.0,0.08,420,max_steps,157.83772986412902,169.2403295990979,0.48256899323408936,0.9999965887871969,0.0008398687615499571,0.004789477820831256,0.0017931003280477337,0.0017918689640569682,-0.0007972293212333493,0.02880809572845193,6.124203567165975e-05,2.40362351271077e-06
opp_a,-1.0,0.02,420,max_steps,163.30992028516766,163.76661921395174,0.49930184700883246,0.9999992214722236,0.0014544843491252817,0.0035119490351884133,0.0016175698566749663,0.001617209906492209,-5.823612525892401e-05,-2.3092682254606253e-06,-1.0535644317983387e-05,-2.2714552181192978e-07
opp_a,-1.0,0.04,420,max_steps,162.9496045941869,164.12920908372843,0.49819675802862745,0.9999992217981645,0.0033105369040516046,0.0035119490351884133,0.001627403185912521,0.0016261121980768317,-2.3177003000491838e-05,-1.451763724206836e-05,-5.4159507655574895e-06,-1.4664644787349535e-06
opp_a,-1.0,0.06,420,max_steps,161.89600653354404,164.76024462952236,0.49561582231201745,0.999999037592134,0.005692398142507579,0.0035119490351884133,0.0016467658673385357,0.0016424442656351873,6.557848765145954e-05,-4.5969637026885336e-05,-5.374577899553325e-05,-3.880025461127495e-06
opp_a,-1.0,0.08,420,max_steps,161.41268478012077,165.29558235696973,0.4940575461850501,0.9999981188832983,0.008119067740627409,0.004142847522582334,0.001690694269531362,0.0016840355640605903,0.0002007227938348127,-0.00010494228785045221,-0.00021485163007721543,-5.903016122058104e-06
opp_a,1.0,0.02,420,max_steps,163.97959999673245,163.09673058930568,0.5013496381805508,0.9999992209054223,0.0015734277184254375,0.0035119490351884133,0.0016164585021487543,0.0016174400104923548,-4.474922078001683e-05,-4.5112930998195664e-07,-9.947276040790321e-06,-5.259598311908121e-07
opp_a,1.0,0.04,420,max_steps,164.2954417656705,162.78134089113686,0.5023145954632345,0.9999992206645169,0.00340724033228175,0.0035119490351884133,0.0016249339457350964,0.0016266377934949922,4.105892288258573e-06,-9.476698296660725e-06,-9.366614095530462e-06,-1.6012690698973587e-06
opp_a,1.0,0.06,420,max_steps,164.15168986041505,162.5374173151625,0.5024706556016038,0.999999218605358,0.005763062564850796,0.0035119490351884133,0.0016385495597170743,0.0016419809649132061,9.997537547324648e-05,-3.255969677346876e-05,-1.5905643257399577e-05,-3.2781037705221335e-06
opp_a,1.0,0.08,420,max_steps,164.5884421187866,162.53173734872266,0.503143653157399,0.9999983614748834,0.00816492133417789,0.0036333299112486467,0.0016802946929100546,0.001684704405958068,0.00024714579734964605,-6.6411055615074e-05,-0.00020283828976115992,-5.001747993549839e-06
opp_b,-1.0,0.02,420,max_steps,163.97959999673245,163.09673058930568,0.5013496381805508,0.9999992209054223,0.0015734277184254375,0.0035119490351884133,0.0016164585021487543,0.0016174400104923548,-4.474922078001683e-05,-4.5112930998195664e-07,-9.947276040790321e-06,-5.259598311908121e-07
opp_b,-1.0,0.04,420,max_steps,164.2954417656705,162.78134089113686,0.5023145954632345,0.9999992206645169,0.00340724033228175,0.0035119490351884133,0.0016249339457350964,0.0016266377934949922,4.105892288258573e-06,-9.476698296660725e-06,-9.366614095530462e-06,-1.6012690698973587e-06
opp_b,-1.0,0.06,420,max_steps,164.15168986041505,162.5374173151625,0.5024706556016038,0.999999218605358,0.005763062564850796,0.0035119490351884133,0.0016385495597170743,0.0016419809649132061,9.997537547324648e-05,-3.255969677346876e-05,-1.5905643257399577e-05,-3.2781037705221335e-06
opp_b,-1.0,0.08,420,max_steps,164.5884421187866,162.53173734872266,0.503143653157399,0.9999983614748834,0.00816492133417789,0.0036333299112486467,0.0016802946929100546,0.001684704405958068,0.00024714579734964605,-6.6411055615074e-05,-0.00020283828976115992,-5.001747993549839e-06
opp_b,1.0,0.02,420,max_steps,163.30992028516766,163.76661921395174,0.49930184700883246,0.9999992214722236,0.0014544843491252817,0.0035119490351884133,0.0016175698566749663,0.001617209906492209,-5.823612525892401e-05,-2.3092682254606253e-06,-1.0535644317983387e-05,-2.2714552181192978e-07
opp_b,1.0,0.04,420,max_steps,162.9496045941869,164.12920908372843,0.49819675802862745,0.9999992217981645,0.0033105369040516046,0.0035119490351884133,0.001627403185912521,0.0016261121980768317,-2.3177003000491838e-05,-1.451763724206836e-05,-5.4159507655574895e-06,-1.4664644787349535e-06
opp_b,1.0,0.06,420,max_steps,161.89600653354404,164.76024462952236,0.49561582231201745,0.999999037592134,0.005692398142507579,0.0035119490351884133,0.0016467658673385357,0.0016424442656351873,6.557848765145954e-05,-4.5969637026885336e-05,-5.374577899553325e-05,-3.880025461127495e-06
opp_b,1.0,0.08,420,max_steps,161.41268478012077,165.29558235696973,0.4940575461850501,0.9999981188832983,0.008119067740627409,0.004142847522582334,0.001690694269531362,0.0016840355640605903,0.0002007227938348127,-0.00010494228785045221,-0.00021485163007721543,-5.903016122058104e-06
right_support_a,-1.0,0.02,420,max_steps,161.7832906944376,165.29340093469855,0.4946341174255227,0.9999992209312574,0.0015987456200743876,0.0035119490351884133,0.0016212406888234526,0.0016156806706718804,-4.190691135908924e-05,0.0035135483390441717,-1.0361974295029098e-05,-1.5780558148505446e-05
right_support_a,-1.0,0.04,420,max_steps,160.1442301608161,166.7716525373189,0.48986371919007937,0.9999988977685504,0.003913172417650885,0.00575199203829694,0.0016532881364671945,0.0016161699784243838,4.97760373924519e-06,0.007382060504688755,1.5012831577167093e-05,-5.4570593945875854e-05
right_support_a,-1.0,0.06,420,max_steps,159.05353208354316,167.764328233432,0.4866733168416188,0.9999972750275936,0.007709126137294608,0.007585006460359688,0.0017213408860029256,0.0016209311799791903,1.0654573790200183e-05,0.011716036779290624,-2.022666863653736e-05,-0.00015420167032827802
right_support_a,-1.0,0.08,420,max_steps,158.5555078308756,168.16887517199916,0.48528826154208543,0.9999937303747014,0.00968132494552179,0.008464654872293769,0.0018732524731008698,0.0016298403896751745,0.0001180636790405301,0.015761144678992475,-0.0001559771308525158,-0.00026671984305928303
right_support_a,1.0,0.02,420,max_steps,165.10459228787045,161.9723641965614,0.5047882127267167,0.9999992214517527,0.0014760040167223656,0.0035119490351884133,0.0016187091466664943,0.0016184868119210813,-5.4509657658296104e-05,-0.003706065018395941,-1.0969175998974037e-05,-1.7269864109665285e-05
right_support_a,1.0,0.04,420,max_steps,166.11770268331782,160.96034387003922,0.5078839880383677,0.999999057918978,0.003760282345894408,0.005645229238197802,0.0016555250283677991,0.0016243611790778822,3.820971108903961e-05,-0.008152519576741166,4.0459114638888816e-05,-9.101850386523052e-05
right_support_a,1.0,0.06,420,max_steps,162.91130268669954,164.15093193530907,0.49810490310805494,0.9999974898334698,0.007525122268732781,0.0070461449578716,0.0017985469032843066,0.0016404039479642266,0.00011065898718408121,-0.013706954687645831,-0.00014787214185170438,0.0001532895370475301
right_support_a,1.0,0.08,420,max_steps,156.84377291805737,170.22448704761425,0.47954446247556815,0.9999925806641928,0.009783244288155296,0.007614833314318563,0.002081191695470129,0.0017023335480779722,-0.00012865631218803662,-0.019611570244597535,-5.54892035564593e-06,-3.3681429397685227e-05
right_support_b,-1.0,0.02,420,max_steps,165.10459228787045,161.9723641965614,0.5047882127267167,0.9999992214517527,0.0014760040167223656,0.0035119490351884133,0.0016187091466664943,0.0016184868119210813,-5.4509657658296104e-05,-0.003706065018395941,-1.0969175998974037e-05,-1.7269864109665285e-05
right_support_b,-1.0,0.04,420,max_steps,166.11770268331782,160.96034387003922,0.5078839880383677,0.999999057918978,0.003760282345894408,0.005645229238197802,0.0016555250283677991,0.0016243611790778822,3.820971108903961e-05,-0.008152519576741166,4.0459114638888816e-05,-9.101850386523052e-05
right_support_b,-1.0,0.06,420,max_steps,162.91130268669954,164.15093193530907,0.49810490310805494,0.9999974898334698,0.007525122268732781,0.0070461449578716,0.0017985469032843066,0.0016404039479642266,0.00011065898718408121,-0.013706954687645831,-0.00014787214185170438,0.0001532895370475301
right_support_b,-1.0,0.08,420,max_steps,156.84377291805737,170.22448704761425,0.47954446247556815,0.9999925806641928,0.009783244288155296,0.007614833314318563,0.002081191695470129,0.0017023335480779722,-0.00012865631218803662,-0.019611570244597535,-5.54892035564593e-06,-3.3681429397685227e-05
right_support_b,1.0,0.02,420,max_steps,161.7832906944376,165.29340093469855,0.4946341174255227,0.9999992209312574,0.0015987456200743876,0.0035119490351884133,0.0016212406888234526,0.0016156806706718804,-4.190691135908924e-05,0.0035135483390441717,-1.0361974295029098e-05,-1.5780558148505446e-05
right_support_b,1.0,0.04,420,max_steps,160.1442301608161,166.7716525373189,0.48986371919007937,0.9999988977685504,0.003913172417650885,0.00575199203829694,0.0016532881364671945,0.0016161699784243838,4.97760373924519e-06,0.007382060504688755,1.5012831577167093e-05,-5.4570593945875854e-05
right_support_b,1.0,0.06,420,max_steps,159.05353208354316,167.764328233432,0.4866733168416188,0.9999972750275936,0.007709126137294608,0.007585006460359688,0.0017213408860029256,0.0016209311799791903,1.0654573790200183e-05,0.011716036779290624,-2.022666863653736e-05,-0.00015420167032827802
right_support_b,1.0,0.08,420,max_steps,158.5555078308756,168.16887517199916,0.48528826154208543,0.9999937303747014,0.00968132494552179,0.008464654872293769,0.0018732524731008698,0.0016298403896751745,0.0001180636790405301,0.015761144678992475,-0.0001559771308525158,-0.00026671984305928303
right_support_c,-1.0,0.02,420,max_steps,161.5552483906838,165.33424691548538,0.49421976144987145,0.9999992210078784,0.0021878613204014343,0.0035119490351884133,0.001628360593110112,0.0016177095513496415,-3.6752783852051446e-05,0.0036367780232744885,-1.0762778251092574e-05,-1.3399486154447243e-05
right_support_c,-1.0,0.04,420,max_steps,160.80259963366734,166.27434252836463,0.49163538881932767,0.9999978601613309,0.00562759205373505,0.005102666671843937,0.0017418965095070404,0.0016290830149525148,-6.179848170964785e-06,0.00803294647149841,0.00012056741428345883,5.5362855079495596e-05
right_support_c,-1.0,0.06,420,max_steps,160.571559035978,165.54088652028554,0.49238096007677484,0.9999939910256257,0.0074497462616315725,0.005725128895634064,0.0019861699283619527,0.0016726282281601182,2.96653865281107e-05,0.012228481171455363,6.074247724804955e-05,-4.543098555861518e-05
right_support_c,-1.0,0.08,420,max_steps,162.19494281254816,164.88297386476555,0.4958908398960035,0.9999870377173302,0.009003696995471114,0.006745999790733504,0.0022186510198344694,0.0017185330938896681,8.418229376558055e-05,0.015170566381632753,6.982368167653817e-05,0.000326170951418907
right_support_c,1.0,0.02,420,max_steps,165.01583403481385,162.0580981014961,0.5045215097302299,0.9999992214899347,0.0020355119304325073,0.0035119490351884133,0.0016286739559220123,0.0016205056784379113,-3.500006720352222e-05,-0.0038762196947884162,-1.5913607278814344e-05,-2.1657502061079288e-05
right_support_c,1.0,0.04,420,max_steps,160.46258671939523,166.59381072970413,0.4906266563532623,0.9999976549579231,0.005445999246554072,0.004745949502155364,0.001828947333701203,0.0016274988273472096,-3.6510678755406624e-05,-0.009400755604177274,0.00012582549989343853,-5.953428396209783e-05
right_support_c,1.0,0.06,420,max_steps,150.0791827888609,176.98561845959648,0.45886681237475035,0.9999911338512316,0.007740579409314321,0.008878117877729038,0.0022557502697587994,0.0016362229305052003,-0.00020091928808199384,-0.01629645002358055,0.0001021093525437847,0.0007236796393839305
right_support_c,1.0,0.08,420,max_steps,139.13837166132413,187.94427747444743,0.42539208982488086,0.9999749221915009,0.009991358105135623,0.012232818936978815,0.0026916283664258217,0.0016492128821591345,-0.00023561270898851775,-0.025009013367111362,0.00013976147521304946,0.0006763942446959093
