preload_sign,preload_amp,ankle_pitch_bias,roll_action,steps,reason,left_clearance,right_clearance,left_air_steps,left_air_streak,first_air_step,last_air_step,left_force_min,left_force_ratio,min_up_z,support_slip,max_root_ang_vel,gap_delta,max_gap_delta,final_x,final_y,final_x_velocity,final_y_velocity
-1.0,0.036,-0.09,0.0,520,max_steps,0.0029676335401314508,0.0026386172347785397,0,0,-1,-1,130.8578907100663,0.40024057446341155,0.9972083628176971,0.011738194902665392,0.2572460556631439,-0.006103549894017651,0.0004031354844788726,0.00825216640467909,0.004834395769867755,-0.014848519716576424,-0.007157292953994179
-1.0,0.036,-0.09,0.6,520,max_steps,0.002965144019094826,0.0027334137922334772,0,0,-1,-1,130.72227363244883,0.40045662151635447,0.9972016821704783,0.011808895819942976,0.2534499907834296,-0.004724842737236584,0.00042017123933346667,0.008601239300857872,0.004972579806164029,-0.012535402632631481,-0.007150812860809609
-1.0,0.036,-0.075,0.0,520,max_steps,0.0024389194755394666,0.001873806920443269,0,0,-1,-1,133.0352940166412,0.40779316449916675,0.9980686940786767,0.008922886215666734,0.18620798543860878,-0.003284779057459608,0.0004023641069918482,0.0028771197568838464,0.002717623262939568,-0.005538376546066229,-0.007019338692958926
-1.0,0.036,-0.075,0.6,520,max_steps,0.002437381075343012,0.0018456762096028118,0,0,-1,-1,132.52181667599467,0.4062184881577575,0.998079504785231,0.008792516496471026,0.18032077647892047,-0.00232038607161153,0.0004239726640543062,0.002757005499763004,0.0027220339599366454,-0.004794160263836383,-0.006982743968517497
-1.0,0.036,-0.06,0.0,520,max_steps,0.0019561445257815363,0.0017851060733802965,0,0,-1,-1,138.12193146317108,0.4241421163831615,0.9987641085733159,0.007723531987772184,0.15446886148976466,-0.0015260652599036473,0.00040190175988005783,0.0014495099827629486,0.000731615203831691,0.001165180646746881,-0.006855400711873864
-1.0,0.036,-0.06,0.6,520,max_steps,0.001957018699582383,0.001767458344695605,0,0,-1,-1,138.26346851869712,0.4245634324284871,0.9987635164714603,0.007455795514575061,0.1508026844317563,-0.0006740123744484738,0.0004302470028100247,0.0014540828293143414,0.0006149371258198388,0.0015413500758553475,-0.006738120226160715
-1.0,0.036,0.06,0.0,420,x_position_limit,0.0234446759586176,0.02377285900252915,0,0,-1,-1,76.64887158342815,0.4072809639485703,0.8413316798508368,0.0728898101122982,1.6284556968878385,-0.0005634149674748345,0.0004041978188206452,-0.4271617984860466,0.018087447960485593,-1.1414194043699888,0.02147710478914978
-1.0,0.036,0.06,0.6,420,x_position_limit,0.023372942667127833,0.023697532550444794,1,1,420,420,0.0,0.0,0.8425816055341856,0.0713897167277514,1.614983639847034,0.0008627945820530447,0.0008918494440175173,-0.4254595020135406,0.01842306269206421,-1.1345590704102444,0.030100795577387884
-1.0,0.036,0.075,0.0,395,x_position_limit,0.022135646105125674,0.02397501709684964,0,0,-1,-1,104.34504829371457,0.4800899387297584,0.8391097162721559,0.06546678933001265,1.6566211431829978,-0.001772189600788704,0.0004024218611183572,-0.4252940590720122,0.02616123895446992,-1.140897184134882,0.03425997537480789
-1.0,0.036,0.075,0.6,395,x_position_limit,0.02236073808301848,0.023987985399849178,0,0,-1,-1,123.47927639550224,0.5870468037664517,0.8368984818436364,0.06518984896468152,1.6647919512678377,-0.00011431939806724745,0.000433428617636733,-0.4282323514943711,0.02491219070940397,-1.1467054773695873,0.03621247875038375
-1.0,0.036,0.09,0.0,382,x_position_limit,0.021462013203774735,0.024260476807724494,0,0,-1,-1,118.97140187329101,0.5566001241316285,0.8352830574831632,0.0643175569395643,1.6878038850721102,-0.0035765606982497977,0.00040095852292351686,-0.42741478980689246,0.03206311170861207,-1.149247713385246,0.044258292342878765
-1.0,0.036,0.09,0.6,382,x_position_limit,0.021580929837710497,0.02429666021660186,0,0,-1,-1,96.78256636575603,0.5273511039013893,0.8334674517535999,0.06499988716014515,1.6859734942770774,-0.0016552028080066283,0.00042377666336443354,-0.42980098551295054,0.030223969376044383,-1.1499629181299822,0.04818109036913574
-1.0,0.04,-0.09,0.0,520,max_steps,0.0029814283256263396,0.0026396423566379806,0,0,-1,-1,130.4985889263146,0.3990892546352457,0.9972142380105906,0.012208316422597032,0.2605893016022465,-0.006324206215492928,0.0004126418805722454,0.008553601389522828,0.004745338663646241,-0.015551498882196457,-0.007765156401520724
-1.0,0.04,-0.09,0.6,520,max_steps,0.0029798426665498118,0.0027198671660840987,0,0,-1,-1,130.21236653033202,0.3994723237276246,0.9972135201162909,0.012261024051397736,0.2501335843339552,-0.004857799692499082,0.0004300049619554436,0.00857976358159761,0.004957819096510854,-0.0137062268438299,-0.0077844443992465
-1.0,0.04,-0.075,0.0,520,max_steps,0.0024529701101040774,0.0018890435571641134,0,0,-1,-1,132.54792722750764,0.40665186217163674,0.9980700986542522,0.008928938778836049,0.18586417763369872,-0.0033158088009536957,0.0004116185310971132,0.0030858427615634886,0.0026997231982425797,-0.005807780811777405,-0.007677011184648261
-1.0,0.04,-0.075,0.6,520,max_steps,0.002452271065939156,0.0018601393677476416,0,0,-1,-1,131.9449129231385,0.40466287768531745,0.9980789369519528,0.008789510101666481,0.181570997519113,-0.002299761538266304,0.0004337874623998039,0.0028725057934916465,0.002815866137662155,-0.005094871862233585,-0.00766268119994277
-1.0,0.04,-0.06,0.0,520,max_steps,0.0019702670767024477,0.00178763052858269,0,0,-1,-1,137.5812718316624,0.42249452850349634,0.9987638629974476,0.007744258073320876,0.15576429299367134,-0.001411516609028829,0.00041069487942582694,0.001409858617067819,0.0009625983298148851,0.0011053886477438862,-0.007545674498179702
-1.0,0.04,-0.06,0.6,520,max_steps,0.0019717071012018694,0.0017679781201952044,0,0,-1,-1,137.6371620164191,0.4226712790906617,0.998765425010114,0.00746551308548424,0.150976481636888,-0.0005803163664999389,0.00043989769289928815,0.0014284622970690921,0.0008072267167681735,0.0015531329418899485,-0.007399129087510959
-1.0,0.04,0.06,0.0,420,x_position_limit,0.023182011736582242,0.02355069229018622,0,0,-1,-1,84.75520828123908,0.4822896171873871,0.8460770307443498,0.07303920968808174,1.5988723535494112,-0.000699183083278182,0.00040814901330923914,-0.42090880615671017,0.019672971865354282,-1.127160864208431,0.0212619116420902
-1.0,0.04,0.06,0.6,420,x_position_limit,0.02307760425445616,0.023520611457672216,0,0,-1,-1,99.58886949218191,0.45269863209738515,0.8463210447114073,0.06723611197670187,1.6000572023539592,0.0006845183321729509,0.0007614431450171377,-0.42061560497617023,0.019612903500785032,-1.1250622324742534,0.02642300809932096
-1.0,0.04,0.075,0.0,395,x_position_limit,0.02218718453132521,0.02393916474531542,0,0,-1,-1,89.59286757380896,0.46910318420579805,0.8398688621132117,0.06547967658517492,1.641503229104999,-0.0018259743099141301,0.0004064607488147298,-0.4242844775607131,0.02776978483016323,-1.1373103816021368,0.03337091846350754
-1.0,0.04,0.075,0.6,395,x_position_limit,0.022289761042418227,0.023936533976609532,0,0,-1,-1,104.17865897819043,0.46036434733075543,0.8380497965250309,0.06646517878075218,1.6590403666400355,-8.498452313573934e-05,0.00042623346553291586,-0.42644462831887736,0.02660422250471697,-1.1440183996219206,0.03972151492069353
-1.0,0.04,0.09,0.0,382,x_position_limit,0.021359781594418675,0.0241307515492976,0,0,-1,-1,104.31477177443585,0.5049379654373398,0.8360434561010123,0.06211150994850451,1.6919698916718802,-0.0036060521672034995,0.0004051772830800382,-0.42637598249507574,0.03418324338495112,-1.148160016330158,0.046522472722621694
-1.0,0.04,0.09,0.6,382,x_position_limit,0.021381729308772524,0.02416226816130019,0,0,-1,-1,110.4869748284411,0.5189183387625327,0.8350407256503118,0.06358560067281638,1.683253156096787,-0.0016735548598045824,0.00041981324712511703,-0.4278172979600582,0.032209510573991414,-1.145358262103977,0.050241215630118775
1.0,0.036,-0.09,0.0,520,max_steps,0.002781621250699598,0.0034946558470762973,0,0,-1,-1,135.41380552036478,0.4151931996682372,0.9968472806090478,0.009916169047750443,0.24233060338483506,-0.004969112586627661,0.0003960391388912743,0.012045995558360651,0.002178163989343526,0.009612452304590369,0.008107324943834615
1.0,0.036,-0.09,0.6,520,max_steps,0.002752600380470857,0.003599880131806274,0,0,-1,-1,134.8842226316215,0.4126512374716982,0.9967832044164079,0.00990535655789845,0.2376912298701327,-0.003691310502626638,0.00040053147350330165,0.012653297975141357,0.0018507693610169895,0.00833492754791302,0.0077921470792703534
1.0,0.036,-0.075,0.0,520,max_steps,0.0022778718180408997,0.0022695509635542177,0,0,-1,-1,139.1520023329105,0.426490334869777,0.9979776996387515,0.008681890216525125,0.20381345764033976,-0.003426694951823489,0.00039729365240612213,0.0036409873249629663,0.0012398781869634615,-0.0035853530063593496,0.005883044671284622
1.0,0.036,-0.075,0.6,520,max_steps,0.0022520470262894776,0.0023262992731132165,0,0,-1,-1,137.97701263542638,0.4231487916181756,0.9979617877740676,0.008564200017095114,0.20157782006098046,-0.0023471678724104883,0.00040658453824884977,0.0037727267750862414,0.0010116217895174504,-0.004165563779622088,0.005882401579518507
1.0,0.036,-0.06,0.0,520,max_steps,0.0018165664111947644,0.0018397497955579267,0,0,-1,-1,149.87862587704666,0.46260063144133684,0.9987333685533184,0.00733349015646313,0.15745270883552787,-0.001390088398760675,0.0003989574679071628,0.0023133255506770805,0.00031012599465795546,0.002464122670275246,0.006034482226243159
1.0,0.036,-0.06,0.6,520,max_steps,0.0018020630635423168,0.001864402197477577,0,0,-1,-1,149.90301702269866,0.46276530565994606,0.9987329120410108,0.007020091256117014,0.16242175317036675,-0.00046510874415375825,0.00042670609191716724,0.0023860222738009648,0.00022856256051106966,0.0022168232456082687,0.006058495060627326
1.0,0.036,0.06,0.0,415,x_position_limit,0.023275869254162362,0.02347910501669693,0,0,-1,-1,108.55632041334522,0.5068502607030143,0.8450241328150053,0.06566972151373107,1.6200618987300555,-0.00020387385990597306,0.0004084398899913133,-0.4221918730267259,-0.010727874751599625,-1.128802936929406,0.0084639629573253
1.0,0.036,0.06,0.6,415,x_position_limit,0.02358696833653169,0.023695727347926833,0,0,-1,-1,109.84539426099981,0.5065273095438602,0.8395687336148302,0.06456425385885103,1.6467641534066317,0.001067431945282804,0.0011403909598088624,-0.4291216381756323,-0.010848993639741896,-1.1423651910294415,0.012368232204458358
1.0,0.036,0.075,0.0,392,x_position_limit,0.022150688905791388,0.02371840770450595,0,0,-1,-1,118.01930154189479,0.5403651873198941,0.8433038436740741,0.05919374694982158,1.6370555411678254,-0.0012918595793882381,0.00040565293465136265,-0.4207793508822824,-0.003773297140872594,-1.12714960373396,0.015635855379214095
1.0,0.036,0.075,0.6,392,x_position_limit,0.02244307827327721,0.02394617755598466,0,0,-1,-1,117.02350182646217,0.5404096882310648,0.8386310074256045,0.05799603124327488,1.6679060258611471,0.00025711807368974937,0.00043104922034817306,-0.4265648525960824,-0.004796163983905094,-1.1411398170320366,0.018655536732781065
1.0,0.036,0.09,0.0,380,x_position_limit,0.021299684822918344,0.02385692995892013,0,0,-1,-1,122.22534496327071,0.5379632014445586,0.8400104653402264,0.061300831848990586,1.6824036582419288,-0.0030887767099714025,0.0004036906897484649,-0.42308289770127366,3.8766968238067875e-06,-1.13699251496627,0.029837423066316458
1.0,0.036,0.09,0.6,380,x_position_limit,0.02153873627057233,0.024064686438186753,0,0,-1,-1,112.65278364652019,0.49948437768297893,0.8363512737322808,0.05973699164912933,1.7061894958461077,-0.0014419306678994659,0.0004186043705039777,-0.42757322653867547,-0.001315081696266517,-1.1479349262446388,0.030654869722369527
1.0,0.04,-0.09,0.0,520,max_steps,0.002755422738518129,0.003538990891437742,0,0,-1,-1,135.3484335839953,0.4151506724941806,0.9968058465655782,0.009895519059828667,0.2417793387420303,-0.004842604090599251,0.00040044171296507725,0.012176771975614313,0.002029003583274891,0.00872892277094332,0.008690929906865295
1.0,0.04,-0.09,0.6,520,max_steps,0.0027221214136727845,0.0036355563898198967,0,0,-1,-1,135.20127685484124,0.41352051618849023,0.9967369644299343,0.009818089422405083,0.24074283662546228,-0.003461123547278677,0.00040842677698429974,0.012842841611701012,0.0018214280240537346,0.005491931420987077,0.008121683075846101
1.0,0.04,-0.075,0.0,520,max_steps,0.0022633918483424137,0.002291497635877604,0,0,-1,-1,139.36197956442584,0.42713689100815183,0.9979604176767485,0.008635230436348727,0.2055147672814512,-0.0033920673065150064,0.0004014883404358238,0.0036771007335184482,0.0011698962059239035,-0.0035408371482446395,0.006626033238940586
1.0,0.04,-0.075,0.6,520,max_steps,0.0022252964534431457,0.0023461130646188696,0,0,-1,-1,138.75855772511062,0.42488000983070706,0.9979337898217162,0.008490474908811864,0.20366053559483513,-0.00225020802331391,0.0004207837995968966,0.0038136548957775998,0.0008674702997634441,-0.003986215988620562,0.006608192980922242
1.0,0.04,-0.06,0.0,520,max_steps,0.0018127896534023136,0.001853599356494276,0,0,-1,-1,150.97416444695148,0.4635787404335943,0.9987343355578164,0.00734962556746739,0.16174867720065214,-0.0013782810989583505,0.0004029068881290787,0.002421239188467764,0.00029441440642839555,0.002452124038847923,0.006741940007111979
1.0,0.04,-0.06,0.6,520,max_steps,0.0017921259674340342,0.0018771114809751355,0,0,-1,-1,151.44058604440457,0.46856881713917564,0.9987284955401078,0.006988510710160334,0.16302988432830307,-0.00039750391950854613,0.0004454762925609479,0.002508613957845164,0.0001557130120778956,0.0022472927089867466,0.006756278467619996
