step,motion_frame,world_x,bc_frame_penetration_m,ppo_frame_penetration_m,bc_frame_max_deficit_m,ppo_frame_max_deficit_m,frame_max_deficit_improvement_m,bc_distance_sphere_0_m,bc_distance_sphere_1_m,bc_distance_sphere_2_m,bc_distance_sphere_3_m,bc_distance_sphere_4_m,bc_distance_sphere_5_m,bc_distance_sphere_6_m,bc_distance_sphere_7_m,ppo_distance_sphere_0_m,ppo_distance_sphere_1_m,ppo_distance_sphere_2_m,ppo_distance_sphere_3_m,ppo_distance_sphere_4_m,ppo_distance_sphere_5_m,ppo_distance_sphere_6_m,ppo_distance_sphere_7_m,flat_reference_sphere_0_m,flat_reference_sphere_1_m,flat_reference_sphere_2_m,flat_reference_sphere_3_m,flat_reference_sphere_4_m,flat_reference_sphere_5_m,flat_reference_sphere_6_m,flat_reference_sphere_7_m,bc_deficit_sphere_0_m,bc_deficit_sphere_1_m,bc_deficit_sphere_2_m,bc_deficit_sphere_3_m,bc_deficit_sphere_4_m,bc_deficit_sphere_5_m,bc_deficit_sphere_6_m,bc_deficit_sphere_7_m,ppo_deficit_sphere_0_m,ppo_deficit_sphere_1_m,ppo_deficit_sphere_2_m,ppo_deficit_sphere_3_m,ppo_deficit_sphere_4_m,ppo_deficit_sphere_5_m,ppo_deficit_sphere_6_m,ppo_deficit_sphere_7_m,ppo_residual_joint_0_rad,ppo_residual_joint_1_rad,ppo_residual_joint_2_rad,ppo_residual_joint_3_rad,ppo_residual_joint_4_rad,ppo_residual_joint_5_rad,ppo_residual_joint_6_rad,ppo_residual_joint_7_rad,ppo_residual_joint_8_rad,ppo_residual_joint_9_rad,ppo_residual_joint_10_rad,ppo_residual_joint_11_rad
150,37.8,-0.40697377920150757,0.01681821420788765,0.01681821420788765,0.032777779623866084,0.032777779623866084,0.0,0.037282150238752365,0.04036079719662666,-0.014696544036269188,-0.01681821420788765,0.07057271897792816,0.07416418939828873,0.016777431592345238,0.021087193861603737,0.037282150238752365,0.04036079719662666,-0.014696544036269188,-0.01681821420788765,0.07057271897792816,0.07416418939828873,0.016777431592345238,0.021087193861603737,0.04978417605161667,0.04801611602306366,0.023081235587596893,0.02095956541597843,0.06835050135850906,0.07194196432828903,0.014555211178958416,0.01886497437953949,0.0075020258128643035,0.0026553188264369964,0.032777779623866084,0.032777779623866084,0.0,0.0,0.0,0.0,0.0075020258128643035,0.0026553188264369964,0.032777779623866084,0.032777779623866084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,38.22,-0.412280797958374,0.01849643886089325,0.023966310545802116,0.032777779623866084,0.039108550995588305,-0.006330771371722221,0.02598188817501068,0.029100803658366203,-0.01663278415799141,-0.01849643886089325,0.07074487954378128,0.07445024698972702,0.014378553256392479,0.018824998289346695,0.0619552806019783,0.061119649559259415,-0.02296355552971363,-0.023966310545802116,0.08515985310077667,0.08944525569677353,0.01711987517774105,0.02226235717535019,0.04535076767206192,0.04379772022366524,0.021144995465874672,0.01928134076297283,0.06852265447378159,0.07222802937030792,0.012156332843005657,0.0166027769446373,0.014368879497051238,0.009696916565299033,0.032777779623866084,0.032777779623866084,0.0,0.0,0.0,0.0,0.0,0.0,0.039108550995588305,0.03824765130877495,0.0,0.0,0.0,0.0,0.07558606564998627,0.003410383826121688,-0.00010635373473633081,0.05721108987927437,-0.00822495948523283,0.005068803206086159,0.027203919366002083,0.012080766260623932,0.0026915636844933033,0.03285031020641327,0.014048620127141476,0.000612135510891676
152,38.64,-0.4176351726055145,0.020497573539614677,0.026562590152025223,0.032777779623866084,0.0401718382537365,-0.007394058629870415,0.01471693441271782,0.017852818593382835,-0.01883862353861332,-0.020497573539614677,0.07081782817840576,0.07467644661664963,0.011348633095622063,0.015978978946805,0.06987079977989197,0.06959587335586548,-0.026232684031128883,-0.026562590152025223,0.09671546518802643,0.10179442912340164,0.01767626218497753,0.0237710140645504,0.04080541431903839,0.039422955363988876,0.018939154222607613,0.017280206084251404,0.06859560310840607,0.07245422899723053,0.009126412682235241,0.013756758533418179,0.02108847990632057,0.01657013677060604,0.032777777761220935,0.032777779623866084,0.0,0.0,0.0,0.0,0.0,0.0,0.0401718382537365,0.03884279623627663,0.0,0.0,0.0,0.0,0.12950272858142853,0.004759525880217552,4.495172470342368e-05,0.09144516289234161,-0.013552317395806313,0.007663140073418617,0.046088799834251404,0.023783158510923386,0.0042122239246964455,0.05687479302287102,0.023953387513756752,0.002992458874359727
153,39.059999999999995,-0.4229682683944702,0.02249136008322239,0.014601282775402069,0.032777779623866084,0.026362675130367278,0.006415104493498806,0.004010084550827742,0.007215450052171946,-0.02101638726890087,-0.02249136008322239,0.07129141688346863,0.07531531900167465,0.008528712205588818,0.013357391580939293,0.0750655010342598,0.07512371987104416,-0.014601282775402069,-0.009955283254384995,0.10563170909881592,0.11139369755983353,0.018310951068997383,0.025225339457392693,0.036502011120319366,0.03527286648750305,0.01676139235496521,0.015286418609321117,0.06906919926404953,0.07309309393167496,0.006306491792201996,0.011135171167552471,0.027491926569491624,0.023057416435331105,0.032777779623866084,0.03277777869254351,0.0,0.0,0.0,0.0,0.0,0.0,0.026362675130367278,0.02024170186370611,0.0,0.0,0.0,0.0,0.1678820550441742,0.004581440705806017,0.0006823341827839613,0.11274001002311707,-0.017935708165168762,0.009198004379868507,0.058498866856098175,0.03333510458469391,0.005184057168662548,0.07319904863834381,0.03087271749973297,0.00520684476941824
154,39.48,-0.42817366123199463,0.024728598073124886,0.0,0.032777779623866084,0.007590211117640138,0.025187568506225947,-0.0033696116879582405,8.908558811526746e-05,-0.023300858214497566,-0.024728598073124886,0.07375988364219666,0.07803156971931458,0.0064796875230968,0.011605705134570599,0.07975124567747116,0.079811230301857,0.0018867102917283773,0.006242360919713974,0.1152532696723938,0.12163405120372772,0.02036117948591709,0.02801811322569847,0.033397771418094635,0.03220798820257187,0.014476921409368515,0.013049181550741196,0.07153766602277756,0.07580934464931488,0.0042574661783874035,0.009383484721183777,0.03176738310605288,0.0271189026144566,0.032777779623866084,0.032777779623866084,0.0,0.0,0.0,0.0,0.0,0.0,0.007590211117640138,0.0018068206310272216,0.0,0.0,0.0,0.0,0.19536098837852478,0.0012165162479504943,0.0014282329939305782,0.12830375134944916,-0.024645403027534485,0.010694089345633984,0.06932021677494049,0.04046288877725601,0.005271321162581444,0.08539699018001556,0.03234254568815231,0.007196342572569847
155,39.9,-0.4333791434764862,0.02694823034107685,0.0,0.032777779623866084,0.0,0.032777779623866084,-0.007469591218978167,-0.006781482137739658,-0.025567764416337013,-0.02694823034107685,0.07635807245969772,0.08086607605218887,0.004613131750375032,0.010022737085819244,0.08261159807443619,0.08251690119504929,0.011795789003372192,0.011682151816785336,0.12371496111154556,0.13058103621006012,0.02269306220114231,0.030932346358895302,0.030308187007904053,0.02915780059993267,0.012210015207529068,0.01082954928278923,0.07413584738969803,0.07864385843276978,0.0023909108713269234,0.007800516672432423,0.03277777822688222,0.030939282737672328,0.032777779623866084,0.032777779623866084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21562185883522034,-0.004552297294139862,0.002490830607712269,0.13968944549560547,-0.03275853767991066,0.012200463563203812,0.07860161364078522,0.04540686309337616,0.004821744281798601,0.0942230075597763,0.029985100030899048,0.008917598985135555
156,40.32,-0.4385569393634796,0.029194138944149017,0.0,0.032777779623866084,0.0,0.032777779623866084,-0.008918373845517635,-0.00954019371420145,-0.02774653024971485,-0.029194138944149017,0.07700380682945251,0.0815587267279625,0.0029999292455613613,0.008465832099318504,0.08654937148094177,0.08621695637702942,0.012721728533506393,0.012322826310992241,0.12835071980953217,0.13544534146785736,0.023982075974345207,0.03249562904238701,0.02885940484702587,0.02765306644141674,0.010031248442828655,0.008583640679717064,0.07478158921003342,0.0793365091085434,0.0007777083665132523,0.006243610754609108,0.03277777869254351,0.03219326015561819,0.03277777869254351,0.032777779623866084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23027202486991882,-0.010322255082428455,0.0036281696520745754,0.14696377515792847,-0.0396512895822525,0.013471806421875954,0.08584072440862656,0.04890425503253937,0.004556408617645502,0.10011862963438034,0.027024129405617714,0.010184984654188156
157,40.74,-0.4437260925769806,0.026985615491867065,0.0,0.02833330014720559,0.0,0.02833330014720559,-0.005392423365265131,-0.006683883722871542,-0.025435861200094223,-0.026985615491867065,0.08147259056568146,0.08601733297109604,0.005895700771361589,0.011349387466907501,0.09440726786851883,0.09383979439735413,0.01803383231163025,0.017352867871522903,0.1352492868900299,0.14247509837150574,0.02874610759317875,0.037417080253362656,0.02794087678194046,0.026649415493011475,0.007897437550127506,0.006347684655338526,0.07480589300394058,0.07935062795877457,-0.0007710002828389406,0.0046826861798763275,0.02833330014720559,0.028333299215883016,0.02833329875022173,0.02833330014720559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24075782299041748,-0.015061995945870876,0.0046497005969285965,0.15077970921993256,-0.04463856667280197,0.014251064509153366,0.090238556265831,0.051511380821466446,0.00428612157702446,0.1040336936712265,0.024463951587677002,0.011319415643811226
158,41.16,-0.44886454939842224,0.028674395754933357,0.0,0.02833330014720559,0.0,0.02833330014720559,-0.006819151341915131,-0.008162634447216988,-0.02706221677362919,-0.028674395754933357,0.08353709429502487,0.08810713142156601,0.004952354356646538,0.010436400771141052,0.09601029008626938,0.09516750276088715,0.01877373829483986,0.01776239648461342,0.13931059837341309,0.1466655284166336,0.029869819059967995,0.03869572654366493,0.026514148339629173,0.025170665234327316,0.006271083373576403,0.004658903926610947,0.076870396733284,0.08144043385982513,-0.0017143463483080268,0.0037697001826018095,0.028333299681544303,0.028333299681544303,0.02833330014720559,0.028333299681544303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24848288297653198,-0.02029726281762123,0.005696574226021767,0.1524307280778885,-0.04968421161174774,0.014681784436106682,0.09240888059139252,0.05354095995426178,0.0036815740168094635,0.10788002610206604,0.020994365215301514,0.012680090963840485
159,41.58,-0.45395317673683167,0.0294866394251585,0.0,0.02833330014720559,0.0,0.02833330014720559,-0.009083935990929604,-0.010427473112940788,-0.02787439525127411,-0.0294866394251585,0.08902516216039658,0.09366558492183685,0.005157397594302893,0.010725910775363445,0.09549722820520401,0.0944153219461441,0.019416309893131256,0.01811802387237549,0.1475590169429779,0.15501536428928375,0.03323998302221298,0.04218760505318642,0.0242493636906147,0.022905826568603516,0.005458904895931482,0.003846659790724516,0.0823584571480751,0.08699888736009598,-0.0015093033434823155,0.004059209953993559,0.028333299681544303,0.028333299681544303,0.02833330014720559,0.028333299215883016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2529001533985138,-0.024829233065247536,0.00649268226698041,0.15390580892562866,-0.05469968169927597,0.015121192671358585,0.09528286010026932,0.0549200102686882,0.002994564129039645,0.11167865991592407,0.017122432589530945,0.013978092931210995
